#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4625.899809243398    All      -1.1167432509416768        1.0821663481708654         -0.09641139052203318       0.7119548008504963         
Zeropoint     AB|PS|PS_z                8177.316017687075    All      0.3129175812822938         -0.048341765904602596      0.27433664705858174        -0.10543166988269403       
Zeropoint     AB|PS|PS_r                5874.578724289578    All      1.0245322662890537         0.05183034778628581        -0.8100310756549156        -0.35298898236726106       
Zeropoint     AB|PS|PS_i                7115.387131995275    All      0.7781938620821354         -0.08641300097984583       0.6371822317958964         -0.253196383487278         
Check         All|All|All               All                  All      0.9989004587118063         0.9992419290727028         0.0050764126775293406      0.000337765113263222       
Lambda        AB|PS|PS_g                4625.899809243398    All      -4.2489723843176796e-05    -0.00018677284999473837    -0.0013024262931198142     -0.0001051190645957577     
Lambda        AB|PS|PS_z                8177.316017687075    All      8.209714982370441e-05      -1.1070199821179896e-05    0.00010439607844556802     -2.5688953386919052e-05    
Lambda        AB|PS|PS_r                5874.578724289578    All      -0.00016295291585438642    -2.15402749718337e-05      -0.00012162572157500994    4.0635152125985785e-05     
Lambda        AB|PS|PS_i                7115.387131995275    All      -0.0004814700813280002     3.591114137409358e-05      -0.0007203197421365263     0.00013638352378807483     
MWEBV         All|All|All               All                  All      -0.6632130724787282        -3.872401577737783         0.0747285207113535         -1.0420034846650161        
Redshift      All|All|All               All                  All      5.127998408226448          0.290188216560594          2.151272815183125          -1.4798325133504124        
