#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5292.841220684811    All      3.58959182109701          0.031100960099550434       0.4413224643784434        -1.1394233496344015       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4419.905511888214    All      -2.593221780047414        0.9711149057689994         -0.44164930522737794      1.1413129416938967        
Check         All|All|All                            All                  All      0.9963700410495953        1.0022158658685498         -0.0003268408489345287    0.0018895920594952376     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5292.841220684811    All      0.0013022066712327514     -5.5835590172383325e-05    -0.000763725510658281     -0.0004764406046792571    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4419.905511888214    All      -0.0006835526057603978    -6.36381810166823e-05      -0.001974540034208751     0.00011381186972544513    
MWEBV         All|All|All                            All                  All      -0.10843611700961642      -2.3871748785403213        -0.002369663038374051     -0.7423659300869584       
Redshift      All|All|All                            All                  All      0.3580830013330877        -0.16453487389185284       -0.16001346261856128      -0.17737450149957115      
