#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5072.191625636721    All      1.7295674843409228         0.5535529536201622        1.4957989953919844        -0.3163159831765664        
Zeropoint     AB|MEGACAMPSF|z           5843.507358428878    All      0.8632542290085158         -0.03476391070993401      -0.3039093131730031       -0.306076128867476         
Zeropoint     AB|MEGACAMPSF|r           4148.099286586118    All      -1.335554744334297         0.37721993489601147       -1.4823792396397117       0.49175528449500583        
Zeropoint     AB|MEGACAMPSF|g           3251.105119248146    All      -0.26597117218409366       0.10540823477693806       0.30834616341186977       0.1347305639571524         
Check         All|All|All               All                  All      0.991295796831048          1.0014172125831777        0.017856605991139307      0.004093736408115917       
Lambda        AB|MEGACAMPSF|i           5072.191625636721    All      0.00037832052566892096     -6.61969352741807e-05     -0.0013384845627399443    -0.00020452437981709253    
Lambda        AB|MEGACAMPSF|z           5843.507358428878    All      -0.00018988190756628616    7.3176132028705265e-06    5.472795153887117e-05     6.667662870683454e-05      
Lambda        AB|MEGACAMPSF|r           4148.099286586118    All      -0.0008612287081367334     0.00016120065043530662    -0.0013343918953573142    0.00027349109736419803     
Lambda        AB|MEGACAMPSF|g           3251.105119248146    All      -0.0008447571725376859     0.0002641830811078529     0.000512191835326979      0.0003840750928616726      
MWEBV         All|All|All               All                  All      -0.2546053942057125        -2.2918859608813236       0.28917241044080183       -0.6507048685489321        
Redshift      All|All|All               All                  All      8.6182997566393            1.001987076050348         8.737567248155079         -2.090966113222054         
