#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           5072.191625636721    All      1.8149572274474195        0.5250493848034665        2.005223120201327         -0.33068152285875285      
Zeropoint     AB|MEGACAMPSF|z           5843.507358428878    All      1.173298853793153         -0.1453022961847239       -0.9228056936016582       -0.47069235504928475      
Zeropoint     AB|MEGACAMPSF|r           4148.099286586118    All      -1.8577524108767838       0.573209650756823         -1.1684991661934152       0.7396995686857033        
Zeropoint     AB|MEGACAMPSF|g           3251.105119248146    All      -0.13668772887370836      0.043003600127455854      0.06130277018194796       0.06126703860458993       
Check         All|All|All               All                  All      0.9938159414900803        0.9959603395030214        -0.024778969411798357     -0.0004072706177443708    
Lambda        AB|MEGACAMPSF|i           5072.191625636721    All      0.0004275858752737583     -7.892691485790545e-05    -0.00195519281955611      -0.0002522391551826876    
Lambda        AB|MEGACAMPSF|z           5843.507358428878    All      -9.460940794120713e-05    4.759128113785905e-05     0.00036743834863403813    6.271652861300633e-05     
Lambda        AB|MEGACAMPSF|r           4148.099286586118    All      -0.001415813615357048     0.00022861839947691963    -0.002090065940364427     0.0004423755638449646     
Lambda        AB|MEGACAMPSF|g           3251.105119248146    All      -0.0003437235108351754    0.0001875736117427027     0.000726974543743476      0.00020550248699372457    
MWEBV         All|All|All               All                  All      -0.1563828863565675       -2.354318040511494        0.02425718933838361       -0.7148573026760807       
Redshift      All|All|All               All                  All      7.225132767633708         0.022658734019920246      4.469168055364792         -2.146644302940981        
