#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5589.566727100218    All      3.276703371083576         -0.26588595633718626      -0.04968664234121789     -1.1561551783131951        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4667.692786556089    All      -2.2774993657894336       1.2682845674266474        0.055218235093551504     1.1574426160989895         
Check         All|All|All                            All                  All      0.9992040052941423        1.0023986110894612        0.005531592752333614     0.0012874377857943209      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5589.566727100218    All      -0.0005988107316659529    4.757566802749359e-05     0.000109259449276268     0.0002154250632717574      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4667.692786556089    All      -7.813236132799841e-05    -0.0002290737509439583    -0.002167195036940973    -0.00014587853735403036    
MWEBV         All|All|All                            All                  All      -0.24599706569854662      -2.5845526635558613       -0.019204396950728286    -0.7626014984493695        
Redshift      All|All|All                            All                  All      2.996327005938919         1.627794151634987         -0.31124396165326806     -0.4596655625571433        
