#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7552.798427597616     All      0.3931107454208321         -0.10965593406586649      0.47458759454013233       -0.14258898339892523       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6199.3407075355035    All      1.3107675611503589         -0.15878706930063657      0.1629777917535824        -0.4714093397331448        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4350.230713871679     All      -1.0861660553056203        0.7630571836001465        0.46027460287567656       0.6228927881106627         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5379.904526290695     All      0.37955488927665904        0.5022680838131954        -1.09568977884551         -0.008923877904006006      
Check         All|All|All                                All                   All      0.9972671405422295         0.9968822640468389        0.0021502103238812964     -2.9412925413307978e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7552.798427597616     All      -0.00013638632570811565    3.219809435124055e-05     -0.000280102630026722     4.2413797962767195e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6199.3407075355035    All      -0.0001510118470938428     2.3720579411346887e-05    8.818419444644833e-05     6.085135542161339e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4350.230713871679     All      -0.00048164495190520075    0.00021381180616745013    -0.00082635691468154      0.000189656632169798       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5379.904526290695     All      4.52035090852315e-06       0.00010693964057358704    -0.0012005171635705708    -2.0212235095799455e-05    
MWEBV         All|All|All                                All                   All      -0.8834736038876851        -4.054852586495361        0.10388076914800148       -1.0283867482848208        
Redshift      All|All|All                                All                   All      4.408653335190932          -0.8215591079704154       3.1181094668022213        -1.56450535707148          
