#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6113.445824758462    All      1.1221880194005283         -0.09644751228652382       -0.033185907150954826      -0.3984306192074049        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4333.949093675496    All      -0.9748005885809303        0.7230853294101003         0.02800304022470225        0.5543069493491254         
Zeropoint     AB|CNIa02|SDSS_g                      4678.534385241757    All      -0.15753869312244023       0.12718052967253257        -0.05285023732779785       0.0903839544889461         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5421.998329400744    All      0.4867058804414337         0.3452482969299453         -0.15606249982339773       -0.05304174136393938       
Zeropoint     AB|CNIa02|SDSS_i                      7413.621584027196    All      0.5219223121992788         -0.1016206000940656        0.21554359549218635        -0.19348971977554227       
Check         All|All|All                           All                  All      0.9984769303378702         0.9974460436319887         0.0014479914147381978      -0.00027117650881508526    
Lambda        AB|CNIa02|SDSS_r                      6113.445824758462    All      -2.8027798179705782e-06    -4.9417181844141834e-05    -0.0004284680618440928     -3.430440602567166e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4333.949093675496    All      -0.0004733109847049097     0.0001774523461983883      -0.0007694389159005608     0.0001776385014413424      
Lambda        AB|CNIa02|SDSS_g                      4678.534385241757    All      -8.713081241847515e-05     7.034647185865835e-05      -4.0806368845159306e-05    4.9474531513142236e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5421.998329400744    All      8.111222008325717e-05      3.0808477178994325e-06     -0.0007087840093753335     -5.704716014650763e-05     
Lambda        AB|CNIa02|SDSS_i                      7413.621584027196    All      -7.819769539637884e-05     -4.609021562587593e-05     -0.000572462152987619      -1.5087894198306483e-05    
MWEBV         All|All|All                           All                  All      -0.8794168780151179        -4.056235976537437         0.027081892719989977       -1.0335859541432182        
Redshift      All|All|All                           All                  All      5.273149972809208          -0.4950507553323824        3.3956016498752706         -1.7273626391233483        
