#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6113.445824758462    All      1.0867494330586034         -0.08243419130886664       -0.0164596752605925        -0.38157609116552804       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4333.949093675496    All      -0.9422391239565409        0.6705597089746718         0.02958048357832449        0.5266616805151281         
Zeropoint     AB|CNIa02|SDSS_g                      4678.534385241757    All      -0.21315892790748023       0.16685547198167505        -0.0842924807910081        0.12002160586996324        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5421.998329400744    All      0.5767902015362999         0.3334973188696466         -0.0847210679255514        -0.08302920813434977       
Zeropoint     AB|CNIa02|SDSS_i                      7413.621584027196    All      0.49076247151847435        -0.09126396668515113       0.1571011358170296         -0.18257445687188678       
Check         All|All|All                           All                  All      0.9989040542493564         0.9972143418319757         0.0012083954182021128      -0.0004964697866732815     
Lambda        AB|CNIa02|SDSS_r                      6113.445824758462    All      -6.445315258486598e-05     -5.411008108790667e-05     -0.00046798453419630233    -1.7514921722454104e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4333.949093675496    All      -0.0003266598722368214     5.862021027341744e-05      -0.0008008401513929302     8.976058038091446e-05      
Lambda        AB|CNIa02|SDSS_g                      4678.534385241757    All      -8.675076587007902e-05     7.065989469745755e-05      -7.206595620222128e-05     4.805785816541768e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5421.998329400744    All      -1.5444220116000063e-06    -2.1315104351026096e-05    -0.000747080313721414      -3.977872485969375e-05     
Lambda        AB|CNIa02|SDSS_i                      7413.621584027196    All      -8.113703318105538e-05     -3.4278558295822136e-05    -0.0004896249091211197     -6.586364060052171e-06     
MWEBV         All|All|All                           All                  All      -0.8893300094963168        -4.051979413621032         0.026920347530187683       -1.0289776275286904        
Redshift      All|All|All                           All                  All      5.385639247452949          0.08018532823101943        2.7235894022608425         -1.6066195997108124        
