#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    5838.75484809653     All      3.194099220265255         -0.3931127099273013       1.1180318851497828        -1.1185803133312822       
Zeropoint     Linear_AB11_off|TONRY|TONRY_R    4804.775455085278    All      -2.1968029146583756       1.395489462401578         -1.123665102497958        1.1199837973999132        
Check         All|All|All                      All                  All      0.9972963056068794        1.0023767524742766        -0.0056332173481752346    0.0014034840686310002     
Lambda        Linear_AB11_off|TONRY|TONRY_I    5838.75484809653     All      -0.000706490730940682     4.929232916130802e-05     -0.001966100547468906     0.0001584453697390065     
Lambda        Linear_AB11_off|TONRY|TONRY_R    4804.775455085278    All      -0.0007323749195962234    -7.421486974585415e-05    -0.004572120727112539     1.0351631998681214e-05    
MWEBV         All|All|All                      All                  All      -0.36316583288969584      -2.7314232303115915       -0.027123276979567314     -0.7726297349733213       
Redshift      All|All|All                      All                  All      5.099960940225677         1.7745417199327207        25.042125408880764        0.034316599584269754      
