#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    5838.75484809653     All      3.2891304670132278        -0.45684379582286994      1.1507041538500573       -1.1688364149050945       
Zeropoint     Linear_AB11_off|TONRY|TONRY_R    4804.775455085278    All      -2.2946951076054627       1.4589742068261913        -1.1830845564986703      1.1698979577170476        
Check         All|All|All                      All                  All      0.9944353594077652        1.0021304110033213        -0.03238040264861297     0.0010615428119531423     
Lambda        Linear_AB11_off|TONRY|TONRY_I    5838.75484809653     All      -0.0004617808454332592    -5.654395805130238e-05    -0.004594925924692277    -7.305145416966945e-05    
Lambda        Linear_AB11_off|TONRY|TONRY_R    4804.775455085278    All      -0.0014809763551895151    0.00026773095895949215    -0.00531943916992692     0.0003322293641267164     
MWEBV         All|All|All                      All                  All      -0.37035981831860765      -2.7288540570028275       -0.03732414075621193     -0.7699047706735573       
Redshift      All|All|All                      All                  All      6.623361080384238         0.8438610758000564        45.33363171836289        0.1404584823555488        
