#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5362.023120189447     All      -0.19617173617100375       0.24518901222676526        -0.535834678226399         0.11985387540089654        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6338.821282657031     All      0.9903202438662353         0.07399256993121384        0.34940440317617893        -0.2828857559283013        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7837.873202272463     All      0.5473602757930033         -0.13571653728026156       0.17651040605206614        -0.21462374183847943       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5342.852181473215     All      -0.3110720649761938        0.934908244188426          0.43776178586678594        0.4253920761655927         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4335.771676234724     All      -0.10097667232176316       0.08434356398505649        -0.10926283735128717       0.055488999214883816       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4334.7183393790165    All      -0.6657470934951427        0.3226191292497793         -0.09046867525859259       0.3179061935617247         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6178.735708281386     All      0.5283143058673677         -0.41843926449403046       -0.43862616643053354       -0.32796265640468447       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7527.694886219743     All      0.35187037917900965        -0.2086317994043796        0.0797147039012569         -0.1790166984198427        
Check         All|All|All                                All                   All      1.1438976377415124         0.8982649184025693         -0.13080105827052435       -0.08584770824821009       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5362.023120189447     All      -0.00014017259682484883    0.00024072470502096852     -0.0008263630163945694     8.71939962865672e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6338.821282657031     All      -2.629960047822344e-05     -2.6764704369020673e-05    -4.2098099162343825e-05    -2.0301444547356163e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7837.873202272463     All      -3.499192048822146e-05     4.203777757947903e-05      -3.051913935893014e-05     2.3729177842191226e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5342.852181473215     All      -0.0002504505321047194     0.0005816626325155323      -0.000341781987980045      0.00025579447305113537     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4335.771676234724     All      -0.00016649298204961423    0.0001533097639745359      -0.00020811353540928785    9.488312432347809e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4334.7183393790165    All      -0.0007185606623245581     0.00035171519814388834     -0.00017442398513286888    0.0003408403174284181      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6178.735708281386     All      0.00025998386565818606     -0.00022288903672471042    0.00017790948798670253     -0.0001493483070126118     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7527.694886219743     All      2.8290519526550498e-05     -3.3489577762413504e-05    -7.492511889392271e-05     -2.3467374129456488e-05    
MWEBV         All|All|All                                All                   All      -0.6661314363967947        -4.154103207936011         0.002317153008490891       -1.1360437529566947        
Redshift      All|All|All                                All                   All      9.10432979318417           -5.350267893424743         0.7260566116306766         -4.6759374367477236        
