#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4163.844144134581    All      -0.32830973865645796       0.19647453970437212        -0.8099616123468434        0.13479463761215393       
Zeropoint     AB|SDSS|SDSS_z                             8430.482346440462    All      0.191018246507489          -0.0015078780604582676     0.636306543504539          -0.03431665410678353      
Zeropoint     AB|SDSS|SDSS_u                             3403.078488926834    All      -0.13486949332286774       0.12792248121771266        0.5913467203501943         0.1119890798790088        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7229.19715598074     All      0.35124776897690996        0.019353928870025072       0.8761602366126886         -0.06900973540421712      
Zeropoint     AB|SDSS|SDSS_r                             5847.317432143861    All      0.33268236045085303        0.014506964168070624       -0.9726136474154656        -0.14704347426016326      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5149.401360798589    All      -0.05211033798537644       0.21832886102481908        -1.4471627628598216        0.023510716774723106      
Zeropoint     AB|SDSS|SDSS_g                             4474.870057229867    All      -0.17661566460695166       0.3466754744663625         1.0663023462685106         0.21803731612771993       
Zeropoint     AB|SDSS|SDSS_i                             7090.894393476191    All      0.4098791104169762         -0.008034230175635315      0.8242740883307786         -0.09934455716328824      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5933.728622773055    All      0.40744628097053387        0.08597466824964428        -0.7110368846752202        -0.13644419085387452      
Check         All|All|All                                All                  All      1.0003685327511083         0.9996948094649127         0.053615027769360335       0.0021731386052790957     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4163.844144134581    All      -0.00014254051284961518    3.787897352187792e-05      -0.000807966335603912      2.2712735633145652e-05    
Lambda        AB|SDSS|SDSS_z                             8430.482346440462    All      -5.9625133499778424e-05    -1.3715376045776005e-07    -0.00023612213788411392    8.840145553484382e-06     
Lambda        AB|SDSS|SDSS_u                             3403.078488926834    All      -0.00010119052470486837    4.3817338767888786e-05     -7.194226010578692e-05     4.4023379100411845e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7229.19715598074     All      -0.00015946872789643024    -9.58595217428451e-06      -0.00031083356114999496    3.495067682234411e-05     
Lambda        AB|SDSS|SDSS_r                             5847.317432143861    All      -5.671513543200734e-05     -9.744333960548628e-06     1.3182401734587134e-05     1.5888205377556075e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5149.401360798589    All      -4.5221174627010856e-05    9.046432982470893e-06      -0.00043047562163392873    -1.53340474083599e-06     
Lambda        AB|SDSS|SDSS_g                             4474.870057229867    All      2.5276782157765103e-05     -5.415841723363651e-05     -0.0001526835569056957     -3.268822367670421e-05    
Lambda        AB|SDSS|SDSS_i                             7090.894393476191    All      -0.0001883782660997354     -5.156738391474565e-06     -0.00048201383893896327    3.817121556144068e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5933.728622773055    All      -6.451612005308942e-05     -1.3873657487469407e-05    0.0002964012068823305      2.9722940686807588e-05    
MWEBV         All|All|All                                All                  All      -0.8468637755455126        -3.7050830424930403        0.9291727141803596         -0.8895513371676933       
Redshift      All|All|All                                All                  All      5.331986937156878          0.9731939638231601         1.6276394369002745         -1.3471681988528925       
