#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4163.844144134581    All      -0.23854482481289124       0.18063496529459044        -0.4138439258124593        0.11807269455087127       
Zeropoint     AB|SDSS|SDSS_z                             8430.482346440462    All      0.1583161518916312         -0.011582121655084876      0.372728444051374          -0.03870829860315239      
Zeropoint     AB|SDSS|SDSS_u                             3403.078488926834    All      -0.1786266146414535        0.1408272352426465         0.4172922902782969         0.122678466987696         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7229.19715598074     All      0.3232485875331114         0.007784042043645911       0.6219314021687733         -0.07500323889001419      
Zeropoint     AB|SDSS|SDSS_r                             5847.317432143861    All      0.37875520998405027        0.036983166035398085       -0.949875770131571         -0.1537149916796995       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5149.401360798589    All      -0.023986912683157946      0.21923086639539235        -0.9242165155088266        0.03798049395890588       
Zeropoint     AB|SDSS|SDSS_g                             4474.870057229867    All      -0.22788178048589713       0.34411292309188823        0.6967090578837596         0.2174084184064692        
Zeropoint     AB|SDSS|SDSS_i                             7090.894393476191    All      0.43893945359119174        -0.013617835875390227      0.8672261428235415         -0.10871247814324325      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5933.728622773055    All      0.36568814198546573        0.09335330573714273        -0.6731160956621615        -0.11874649555506162      
Check         All|All|All                                All                  All      0.9959074123620505         0.9977265463102292         0.014835030090726953       0.0012545710327714343     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4163.844144134581    All      -0.00012323131171345508    6.079565592346436e-05      -0.0005232111095779323     3.659512886799437e-05     
Lambda        AB|SDSS|SDSS_z                             8430.482346440462    All      -5.910536608526932e-05     4.257163767151749e-06      -0.00017560111780541942    1.2802989157354596e-05    
Lambda        AB|SDSS|SDSS_u                             3403.078488926834    All      -0.00010107661175881932    6.397037059396457e-05      2.2204414061645112e-05     5.4752113055123545e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7229.19715598074     All      -0.00013035293425408105    -3.6445960869621195e-06    -0.00015411622436368818    3.439557505840184e-05     
Lambda        AB|SDSS|SDSS_r                             5847.317432143861    All      -4.1160748143068986e-05    -9.342493547186487e-06     -2.342083595168198e-05     9.31908797084758e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5149.401360798589    All      -2.603486766201924e-05     2.1725324221864166e-05     -0.0003728145023124398     -1.079933202905814e-06    
Lambda        AB|SDSS|SDSS_g                             4474.870057229867    All      2.6987790212570045e-05     -3.945173825718307e-05     -9.220346163140057e-05     -2.575615723558795e-05    
Lambda        AB|SDSS|SDSS_i                             7090.894393476191    All      -0.00019284655095179153    -4.934394766654097e-06     -0.0004558544489755461     4.08664810017875e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5933.728622773055    All      -2.2112546378576986e-05    -1.0511064610491112e-05    0.0003055238015817729      1.7413108333807417e-05    
MWEBV         All|All|All                                All                  All      -0.8789451477168191        -3.708950787149856         0.6882618680497369         -0.8911119750847633       
Redshift      All|All|All                                All                  All      4.900433842184886          0.5554584235976101         0.9560059544184145         -1.3726392843100825       
