#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6880.26595773252      All      0.1664324777648704         0.027410777824776744       0.2684422667992901         -0.033304595892049156      
Zeropoint     AB|SDSS|SDSS_i            5787.0045034741925    All      1.1642869279967143         0.18521846767320937        -0.131290290990042         -0.3247736906153553        
Zeropoint     AB|SDSS|SDSS_g            3652.020709471592     All      -1.045093052346279         0.3884479356884185         -0.13943732251097452       0.4607290146093466         
Zeropoint     AB|SDSS|SDSS_r            4772.099319966172     All      0.7119166378199469         0.3977792437291683         0.007825541169613546       -0.10197566610766827       
Check         All|All|All               All                   All      0.9975429912352526         0.9988564249155729         0.005540194467887153       0.0006750619942738761      
Lambda        AB|SDSS|SDSS_z            6880.26595773252      All      -8.164425399840554e-05     -1.3978881841176777e-05    -0.00014038604965001936    1.5776053210155086e-05     
Lambda        AB|SDSS|SDSS_i            5787.0045034741925    All      -0.0002770275354948221     -4.348925831538192e-05     0.00016812018226007285     8.357353164464826e-05      
Lambda        AB|SDSS|SDSS_g            3652.020709471592     All      -0.0017495363783085103     0.0004623351523229473      -0.0019566780745581586     0.0006331617701684007      
Lambda        AB|SDSS|SDSS_r            4772.099319966172     All      -0.00016062134845822476    -5.538363064277385e-05     -0.0008183007859987323     -2.2376188489822234e-06    
MWEBV         All|All|All               All                   All      -0.568138627073437         -2.8597731332080656        0.15210853668311455        -0.7396728458009909        
Redshift      All|All|All               All                   All      5.169308325145392          -0.6008220950274534        -1.5447300187518689        -1.9484555155510916        
