#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6880.26595773252      All      0.24515253600479678        0.033436487770188705      0.3364658492736039         -0.053947956639779915      
Zeropoint     AB|SDSS|SDSS_i            5787.0045034741925    All      1.1913126448908025         0.15381735192718793       -0.4156596453503497        -0.3564953304158347        
Zeropoint     AB|SDSS|SDSS_g            3652.020709471592     All      -1.0137711405888012        0.42110796281402685       0.255245855369407          0.47877778032196644        
Zeropoint     AB|SDSS|SDSS_r            4772.099319966172     All      0.5746002543285527         0.39067487022173          -0.16840524271816704       -0.06742570109420573       
Check         All|All|All               All                   All      0.9972942946353506         0.9990366727331335        0.007646816574494175       0.0009087921721460945      
Lambda        AB|SDSS|SDSS_z            6880.26595773252      All      -6.562168058380814e-05     -9.053039313242397e-06    -0.00010658666301198316    1.3669794279454089e-05     
Lambda        AB|SDSS|SDSS_i            5787.0045034741925    All      -0.00025553218301058135    -3.914492199824233e-05    0.00013093976026525892     7.632768995722459e-05      
Lambda        AB|SDSS|SDSS_g            3652.020709471592     All      -0.001970938438792777      0.0005063298609587932     -0.0022272404507348124     0.0007075362729644629      
Lambda        AB|SDSS|SDSS_r            4772.099319966172     All      -0.00011495408933333905    -4.897720578335991e-05    -0.0009168363417523126     -1.9423353508171883e-05    
MWEBV         All|All|All               All                   All      -0.5474406524190547        -2.864665770203345        0.16976448628156227        -0.7472206459816666        
Redshift      All|All|All               All                   All      5.181327931628413          -0.8605234027720954       -2.05855547904953          -2.0598936270456987        
