#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8285.849970438085    All      0.2366390825759846        -0.06419335635410306       -0.04861928944189568      -0.10016067804026951       
Zeropoint     AB|PS|PS_r                5952.549448218438    All      0.8502955904448259        0.11921951099864714        -1.4797031572517687       -0.3041678866415867        
Zeropoint     AB|PS|PS_g                4687.297361966244    All      -1.0321624012733255       1.1218567287391679         0.3574999707067997        0.7175884775242102         
Zeropoint     AB|PS|PS_i                7209.826565315298    All      0.9445015291096552        -0.1787757764331488        1.1727874622230121        -0.3135522551199516        
Check         All|All|All               All                  All      0.9992738008571401        0.9981071069505631         0.0019649862361472703     -0.00029234227759766807    
Lambda        AB|PS|PS_z                8285.849970438085    All      0.0002564911568489105     -6.297342075758719e-05     7.23991024939342e-06      -0.00010373703905613382    
Lambda        AB|PS|PS_r                5952.549448218438    All      -0.0001497586449105046    -3.4034944108972275e-05    -0.0009989311047556397    -6.882690732895868e-06     
Lambda        AB|PS|PS_g                4687.297361966244    All      -0.0002593498759151817    1.5799419441774504e-05     -0.0006027723705493878    6.272621517644629e-05      
Lambda        AB|PS|PS_i                7209.826565315298    All      -0.0005305813983645846    3.4060995386929954e-05     -0.002398497418187861     7.688867995432494e-05      
MWEBV         All|All|All               All                  All      -0.6759080933078128       -3.9492142075079784        0.07559635507870094       -1.0628499718418187        
Redshift      All|All|All               All                  All      8.778192965705319         -0.2842600305990928        23.87488414481834         -1.8865126607375569        
