#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8285.849970438085    All      0.19891392094129037       -0.04998401240108308      -0.05922169756665818      -0.08371703775537642       
Zeropoint     AB|PS|PS_r                5952.549448218438    All      0.9304271423663035        0.10147514771361443       -1.4634465832084165       -0.33532383601050236       
Zeropoint     AB|PS|PS_g                4687.297361966244    All      -1.0297085607526628       1.1114469595394638        0.4551210683753415        0.7177547578695598         
Zeropoint     AB|PS|PS_i                7209.826565315298    All      0.8819051301765024        -0.16346272928453587      1.0188365393311472        -0.2950447080041274        
Check         All|All|All               All                  All      0.9815376327314336        0.9994753655674593        -0.04871067306858601      0.003669176099553584       
Lambda        AB|PS|PS_z                8285.849970438085    All      0.00021807539124368198    -4.95880377523618e-05     8.737256911936261e-07     -8.714779432454406e-05     
Lambda        AB|PS|PS_r                5952.549448218438    All      -0.0002796564053394687    -3.68090302799608e-05     -0.001094691775200801     3.025231330846845e-05      
Lambda        AB|PS|PS_g                4687.297361966244    All      -0.0001967741020011694    -9.739176951797315e-05    -0.0009646553532152473    -1.0676042640811926e-05    
Lambda        AB|PS|PS_i                7209.826565315298    All      -0.0006629253087388646    3.8207293065879184e-05    -0.002881872681891027     9.977721315494238e-05      
MWEBV         All|All|All               All                  All      -0.6904896334021835       -3.9420782746084626       0.07520008630270691       -1.0557935600595467        
Redshift      All|All|All               All                  All      10.055102953769158        0.21220555629168913       29.050730359300513        -1.9097548333072631        
