#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3552.243556583979     All      -0.8199480216612984        0.3304678478983192        -0.45079684190674413      0.35461130365419996       
Zeropoint     AB|DECam|DECam_i          5735.6629408684785    All      0.3943269699512915         0.03522854842188394       -2.440837945014614        -0.22589355700208785      
Zeropoint     AB|DECam|DECam_z          6721.3533974185       All      0.785895017736816          0.1459742204103165        1.409246764834812         -0.14555504577984701      
Zeropoint     AB|DECam|DECam_r          4721.195579853721     All      0.6368255751096435         0.4872026203539548        1.498602189250104         0.018138614062402466      
Check         All|All|All               All                   All      0.9970995411364524         0.9988732370844744        0.016214167163557835      0.00130131493466756       
Lambda        AB|DECam|DECam_g          3552.243556583979     All      -0.0015044728700851775     0.0004342275628402909     -0.0028577262807486575    0.0005039713135058314     
Lambda        AB|DECam|DECam_i          5735.6629408684785    All      -0.00010163168712039186    6.386436454947689e-07     0.0008656852358775826     7.194436745313208e-05     
Lambda        AB|DECam|DECam_z          6721.3533974185       All      -0.0005238439479634939     -9.412663716421425e-05    -0.0009983033753830388    9.542337080514768e-05     
Lambda        AB|DECam|DECam_r          4721.195579853721     All      -9.859804980732842e-05     -5.675255764204141e-05    -0.0008702142277045883    -2.520321075903635e-05    
MWEBV         All|All|All               All                   All      -0.5155987896510643        -2.6427541961474788       0.11752746408131519       -0.6876397862922718       
Redshift      All|All|All               All                   All      6.071965848411883          0.16202020675297746       6.05941638398138          -1.6546598036004743       
