#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3552.243556583979     All      -0.8830284119311551        0.34538790892071347       -0.5191604131123739       0.3769678645783301        
Zeropoint     AB|DECam|DECam_i          5735.6629408684785    All      0.40096818428103864        0.025533414623168937      -2.3348059396608445       -0.22648312162586495      
Zeropoint     AB|DECam|DECam_z          6721.3533974185       All      0.8683873421101502         0.15678888277470548       1.485696349272636         -0.1654912245879784       
Zeropoint     AB|DECam|DECam_r          4721.195579853721     All      0.6126582845267389         0.47194170031268357       1.4053759710750846        0.016879454014081866      
Check         All|All|All               All                   All      0.9989853989867727         0.9996519066312715        0.03710596757450224       0.0018729723785685971     
Lambda        AB|DECam|DECam_g          3552.243556583979     All      -0.0014577857812193501     0.000497782233201203      -0.0020265855145434643    0.0005465556348299996     
Lambda        AB|DECam|DECam_i          5735.6629408684785    All      -0.00010203629807871209    1.1032386700547469e-05    0.0011853777354146379     8.972815457037946e-05     
Lambda        AB|DECam|DECam_z          6721.3533974185       All      -0.0005423995281262338     -9.566723002523129e-05    -0.0009354808873792498    0.00010376919105213199    
Lambda        AB|DECam|DECam_r          4721.195579853721     All      -0.00010995412600514176    -7.91650581452352e-05     -0.0011989838325930445    -4.347612938284709e-05    
MWEBV         All|All|All               All                   All      -0.526225544853987         -2.652618846763488        -0.05241658384163017      -0.6949753660898386       
Redshift      All|All|All               All                   All      5.408994630922377          -0.00646116810028019      3.5968498546385064        -1.6034812276668347       
