#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4355.503093164771    All      -0.47449059449351216      0.0632129762792033        -0.6278460375961692        0.14712985785734212        
Zeropoint     AB|CNIa02|SDSS_i                      7450.491697723036    All      0.9523991899850667        -0.09620365887199611      0.44399117251671116        -0.32175115903005647       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5448.963516738383    All      0.32500016131774284       0.010399679291062114      -0.4543660367719915        -0.1227519964379295        
Zeropoint     AB|CNIa02|SDSS_g                      4701.802108413035    All      -0.5714630859419814       1.1301971095939223        0.9054740597068345         0.5946938572363974         
Zeropoint     AB|CNIa02|SDSS_r                      6143.849783212159    All      0.7667944784444822        -0.10710690929176536      -0.25677581457369536       -0.29611715776314135       
Check         All|All|All                           All                  All      0.998240149311798         1.0004991970004262        0.010477343281689588       0.0012034018626122522      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4355.503093164771    All      -0.0004803036615858105    5.852878189710111e-05     -0.0006013947077092398     0.00014867797020415172     
Lambda        AB|CNIa02|SDSS_i                      7450.491697723036    All      0.00047074599182770857    -4.290488199469925e-05    0.0002600250216414229      -0.00015570926575163939    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5448.963516738383    All      6.767717471778373e-05     2.2419146848150498e-05    -0.0004256191203639702     -3.373545516595999e-05     
Lambda        AB|CNIa02|SDSS_g                      4701.802108413035    All      -0.0012419349250212708    0.00021190502422403323    -0.0017966156126985131     0.00039338879814514914     
Lambda        AB|CNIa02|SDSS_r                      6143.849783212159    All      0.00016621153386709516    -3.309083957893839e-05    -0.00013817493181724773    -7.108545247719756e-05     
MWEBV         All|All|All                           All                  All      -0.7396600403859281       -4.102757613303787        0.10277008969888923        -1.090885365025769         
Redshift      All|All|All                           All                  All      9.983761744768994         0.27138879422370366       8.524484877530137          -2.7832307890305086        
