#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4355.503093164771    All      -0.3561489462429525       0.07550892482468541        -0.4117065876143581        0.12223259562360615        
Zeropoint     AB|CNIa02|SDSS_i                      7450.491697723036    All      0.8445880249331083        -0.09618028646505294       0.3602730603443648         -0.29036185737165576       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5448.963516738383    All      0.3606725664288417        0.026873028315455016       -0.26055440968453264       -0.12035683786324682       
Zeropoint     AB|CNIa02|SDSS_g                      4701.802108413035    All      -0.8663419039851736       1.119750839566347          0.484215214222918          0.6685440481759154         
Zeropoint     AB|CNIa02|SDSS_r                      6143.849783212159    All      1.016356208346368         -0.1260427668036801        -0.16496961923653802       -0.37947876644477324       
Check         All|All|All                           All                  All      0.9991259494801918        0.9999097394377543         0.007257658031854075       0.0005791821198457558      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4355.503093164771    All      -0.0003566812508015745    7.509553200307236e-05      -0.0004171874601385364     0.00012202674292041282     
Lambda        AB|CNIa02|SDSS_i                      7450.491697723036    All      0.0002927899755831441     -3.351993199130449e-05     0.00012411172664923028     -0.00010075133583827494    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5448.963516738383    All      0.0002889492832642439     1.905545345033472e-05      -0.00021142726658694445    -9.734832747111421e-05     
Lambda        AB|CNIa02|SDSS_g                      4701.802108413035    All      -0.0014792817678255339    9.980045284710218e-05      -0.002320045909677053      0.0004108260361716221      
Lambda        AB|CNIa02|SDSS_r                      6143.849783212159    All      0.0002182378766716629     -3.3647236729711177e-05    -9.229892502229948e-05     -8.616614531903228e-05     
MWEBV         All|All|All                           All                  All      -0.796786158211169        -4.098264448796174         0.06911442900859739        -1.0723158351175333        
Redshift      All|All|All                           All                  All      9.44648062917533          0.6321382850301482         7.949270920561682          -2.5163818332339516        
