#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_i
@MAGSYS  Linear_AB11_off
54725.33  14.018  0.006
54726.33  13.984  0.006
54728.32  13.973  0.006
54729.31  14.014  0.006
54732.33  14.104  0.006
54740.31  14.541  0.005
54744.33  14.844  0.007
54747.31  14.851  0.006
54749.31  14.793  0.006
54751.3  14.732  0.007
54752.37  14.712  0.007
54753.38  14.653  0.006
54759.35  14.588  0.009
54760.31  14.609  0.008
54765.34  14.932  0.006
54768.32  15.116  0.01
54770.3  15.224  0.006
54779.33  15.624  0.01
54781.33  15.699  0.009
54783.31  15.778  0.008
54790.34  16.056  0.01
54792.27  16.134  0.011
54795.27  16.277  0.013
54797.36  16.32  0.008
54803.33  16.566  0.007
54809.23  16.761  0.01
54813.33  16.945  0.009
54814.22  16.95  0.011
54820.23  17.138  0.013
