#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6217.966517009684     All      1.052876039754878          -0.06652169257121976       0.048423208425251545       -0.36246376311786266       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4397.216309159021     All      -0.4982117024460481        0.3222429450493003         -0.2042524083403208        0.2581342239585422         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3593.5112929332263    All      -0.34004124825260507       0.1402241229701673         -0.05008879681762762       0.15420299871620763        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4803.546894560443     All      -0.18655947947723017       0.46305708213338903        0.1923227823400334         0.22018396833589698        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7602.416176571481     All      0.28503807284016874        -0.030461378430857167      0.11030157707642368        -0.09784629811451333       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5371.5535480885055    All      0.6810178263001656         0.1697833956063377         -0.09519869486807944       -0.17077415371034357       
Check         All|All|All                              All                   All      0.9941195087193291         0.9983244747571174         0.0015076678156807632      0.0014369760679272259      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6217.966517009684     All      -0.0001068071891614325     -1.820455616447049e-05     -0.00026345147108675397    1.710416334139307e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4397.216309159021     All      -0.0003381543891125718     0.0001251207310149923      -0.0005538447985481415     0.00012618839828223738     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3593.5112929332263    All      -0.00042959793480761883    0.0001141400773528464      -0.0003441118714939567     0.00016175722663380886     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4803.546894560443     All      -0.00011736790341482002    -4.520167353623761e-05     -0.001217750172984465      -3.083568202615287e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7602.416176571481     All      -6.104657285856425e-05     3.520011181948641e-06      -5.2180910329754264e-05    1.8702866229751324e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5371.5535480885055    All      0.0002343731343171564      -1.7894747611755925e-06    -0.0007814699491069749     -0.00011179934596286241    
MWEBV         All|All|All                              All                   All      -1.1076545236254387        -4.017850117912136         0.0043876565062531065      -0.9477506466922935        
Redshift      All|All|All                              All                   All      5.880191311162024          0.8721278252896703         6.64486596660569           -1.3347611884193402        
