#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6217.966517009684     All      1.0534181919129604         -0.08796163153492742      0.09077291654480679        -0.36773418041734507       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4397.216309159021     All      -0.5055723016758794        0.3324877989111741        -0.17879125561185427       0.2650051135401399         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3593.5112929332263    All      -0.38073986080164934       0.16068053230187118       -0.08570867454042452       0.1725336497366392         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4803.546894560443     All      -0.18564379715545198       0.46138194521709863       0.149784210552234          0.21744175218834094        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7602.416176571481     All      0.3158618040744365         -0.03832749087360199      0.15040469782757748        -0.10865923496601315       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5371.5535480885055    All      0.6968830762819325         0.17054422815427905       -0.11757094042650351       -0.1766925299563793        
Check         All|All|All                              All                   All      0.9942071126363488         0.9988053821758935        0.008890954345835977       0.001894570125382522       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6217.966517009684     All      0.00011991472329341498     -5.321401725256062e-05    -0.00037601342765700526    -7.317347887133073e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4397.216309159021     All      -0.0004979344825620783     0.00024879161511168424    -0.0006094124194357263     0.00021603797922184627     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3593.5112929332263    All      -0.0008683750873889561     0.00028569899630559296    -0.0005565752154062696     0.00035108250136283066     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4803.546894560443     All      -0.00017752840663462637    0.0001207840096956424     -0.0012653329741752464     4.070416901246254e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7602.416176571481     All      -4.483977110591658e-05     3.0902720818905507e-06    -4.784752223523207e-05     1.3477176756215096e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5371.5535480885055    All      0.00034395975564382563     4.970600343463822e-05     -0.0008881713631768428     -0.00013548313647049345    
MWEBV         All|All|All                              All                   All      -1.0774635011448344        -4.032018573272289        0.004837878978325438       -0.9621798966473694        
Redshift      All|All|All                              All                   All      6.552792099411453          -1.1419293959281873       8.837243499540154          -2.1120583504568855        
