#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5273.105183388376    All      0.413775515089499          0.4208903610684267        -0.029419154460011837     0.001004697660555719       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6233.423038057983    All      1.3125588233027028         -0.1265980608384787       0.0823223010489544        -0.4651070778167671        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7723.352783354638    All      0.4087290533689827         -0.07963798574115444      -0.008205736017680546     -0.15944339574741348       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4360.073051755219    All      -1.1369814893691           0.7833649491293393        -0.04660556568324701      0.6234402201953858         
Check         All|All|All                       All                  All      0.9980819023920847         0.9980192636181329        -0.0019081551119849924    -0.0001055557082390024     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5273.105183388376    All      0.00011208600704864461     0.00010121471805647463    3.078879709440431e-05     -2.1671738730412367e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6233.423038057983    All      -0.00033647286320745515    1.6795859364559983e-05    -0.0004046547158166892    9.701336368245236e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7723.352783354638    All      -2.8508754854837822e-05    9.381104138292277e-06     8.22463447401383e-05      1.601225023535148e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4360.073051755219    All      -0.00019436304936794915    9.231911664297915e-05     -0.0004525653626061641    7.318589945729114e-05      
MWEBV         All|All|All                       All                  All      -0.8188494097666057        -4.009334045518109        -0.010507059404078806     -1.0397146914950692        
Redshift      All|All|All                       All                  All      1.8510974544854246         0.3471534973038537        -4.580278446635034        -0.6942808157558862        
