#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5273.105183388376    All      0.5448410501517664         0.35814282286974475       0.10695613396838333       -0.056040793787737186     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6233.423038057983    All      1.2184448637147933         -0.092269244775256        -0.05118089572531126      -0.4292266746594192       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7723.352783354638    All      0.40058351657628616        -0.06752530694091874      0.05278099173109396       -0.15012307089578014      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4360.073051755219    All      -1.164800631097902         0.7992740643138596        -0.10972841541758704      0.6348670692180952        
Check         All|All|All                       All                  All      0.9990687993449439         0.9976223354674296        -0.0011721854434210144    -0.0005234701248413298    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5273.105183388376    All      8.205998477693697e-05      7.117678484073775e-05     -6.700381617661801e-05    -6.535088844428623e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6233.423038057983    All      -0.0002705933177458596     1.6764742126707564e-05    -0.0001092267412463275    8.872768609831281e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7723.352783354638    All      -6.929848916900482e-05     9.69319283902407e-06      -4.98163377685627e-05     2.3507115222715247e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4360.073051755219    All      -0.00015124095326175439    6.0655216357121354e-05    -0.0005183221988881674    4.589121445315857e-05     
MWEBV         All|All|All                       All                  All      -0.8102630833521922        -4.008131520218594        0.021447006950414682      -1.0406938752163502       
Redshift      All|All|All                       All                  All      2.0525345922498777         0.5986693956177014        -3.0694993503799672       -0.6105493835942124       
