#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5062.953517631312    All      0.04869317917846083       0.5685916614284636        0.36333704788573673        0.18556210352128621       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4144.592729260758    All      -0.9082816133470817       0.5969807938230431        0.135788405081938          0.49637310054278516       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5860.739387213346    All      1.1956720191379355        -0.07431952059153701      -0.8437501008547121        -0.4513307177676118       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7165.651310944648    All      0.6582005452364642        -0.09207280570073806      0.3492241863154666         -0.22880444215374052      
Check         All|All|All                              All                  All      0.994284130205779         0.9991801289592317        0.004599538428429195       0.0018000441427190594     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5062.953517631312    All      3.609672472923012e-05     0.00017610304452470713    -0.0004222085698319908     2.6763435090714746e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4144.592729260758    All      -0.0008865964503657767    0.0004042494511957242     -0.001083312639828883      0.000372127710066757      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5860.739387213346    All      -6.046473182604027e-05    4.559117875773791e-05     5.0498775911537586e-05     3.679942764940027e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7165.651310944648    All      -0.0003121988927974143    4.279920004775908e-05     -0.00019913412569304406    0.00010674811649030175    
MWEBV         All|All|All                              All                  All      -0.7531385865827325       -3.8103706850831642       0.06957983046512739        -0.992736046165052        
Redshift      All|All|All                              All                  All      6.4985982553322           0.17969492099361162       8.727281385635166          -1.6688162164516518       
