#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5062.953517631312    All      0.07551988148444233        0.5680159609017466        0.18300350263093745       0.1685887815236947        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4144.592729260758    All      -0.961581971494775         0.5713446071002437        -0.030176925472662815     0.49797796084862017       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5860.739387213346    All      1.187117112327991          -0.04896419515745265      -0.5271675623176156       -0.42615741482832475      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7165.651310944648    All      0.6961668209438663         -0.09179858102772442      0.3792309221597113        -0.2397429204025115       
Check         All|All|All                              All                  All      0.9972218432615246         0.9985977918168132        0.004889937000370326      0.0006664071414785866     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5062.953517631312    All      -1.1978793823712249e-05    8.120462256947754e-05     -0.0004738447646626744    9.20738880599459e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4144.592729260758    All      -0.0006501031511053613     0.0002444557961094952     -0.0010044827329248216    0.00024656182827496935    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5860.739387213346    All      -0.0001782347103722772     2.0138057922866202e-06    -8.242117062499242e-05    5.50347934165928e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7165.651310944648    All      -0.0003233288316030815     4.818272099803061e-05     -0.0001725473070005999    0.00011331354121890226    
MWEBV         All|All|All                              All                  All      -0.7717642381794061        -3.8027843816594853       0.06917851207841011       -0.9842158590636277       
Redshift      All|All|All                              All                  All      6.518693363288513          0.9179184143235375        4.26577079082344          -1.6339949024827896       
