#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      2.969492582163221          -0.9300514870503207       0.23342284172617497       -1.2597932051781942        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -1.9719533969567293        1.9342292127834781        -0.2296140694016728       1.2621255642450093         
Check         All|All|All                            All                  All      0.9975391852064917         1.0041777257331574        0.003808772324502163      0.0023323590668151706      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      -0.0007190939366889669     0.0002368067750526744     2.8721766834102774e-06    0.0003114964820675142      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -0.00012968068467304907    -5.218034879498492e-05    -0.0008696251282117461    -1.3562966347539115e-05    
MWEBV         All|All|All                            All                  All      -0.5300853304021271        -2.999206090724016        -0.0044122590744355       -0.8044707621547513        
Redshift      All|All|All                            All                  All      4.458476197324176          0.4987763074312923        0.945633095221915         -1.2476052624910363        
