#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      3.017278953848458          -0.9377452181706047       0.4472418602502193         -1.2683231391416232       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -2.046657075438408         1.946222862702296         -0.5691109030982772        1.275215551927114         
Check         All|All|All                            All                  All      0.9706218784100505         1.0084776445316912        -0.12186904284805788       0.006892412785490798      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      -0.000546621107927722      0.00015712098115006336    -0.00026181680759142565    0.00021754826919796746    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -0.00023619534985538395    6.394209438721098e-05     -0.0008581962695371019     5.946728186189315e-05     
MWEBV         All|All|All                            All                  All      -0.5657999026562712        -3.015777654230689        -0.25648815785519474       -0.8094842440392769       
Redshift      All|All|All                            All                  All      4.213767200584016          0.056580474231004985      0.04644815822359427        -1.3520597161812309       
