#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5455.882070010447     All      0.8190411207494666         0.1630506571888901         0.07769584008448417        -0.2102104669280137       
Zeropoint     AB|CNIa02|SDSS_i                      7459.951592904096     All      0.38635278736854156        -0.06935749002270342       0.035612084730826526       -0.14685062598798754      
Zeropoint     AB|CNIa02|SDSS_r                      6151.650634124473     All      1.170201942838027          -0.13732205152590105       -0.015496615896827331      -0.4265951240201281       
Zeropoint     AB|CNIa02|SDSS_g                      4707.7719902560375    All      -0.619887686798072         0.6791907222189586         0.3794815316584461         0.4400870940893283        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4361.03327887516      All      -0.756398953592668         0.361608864867069          -0.4765069990061661        0.34290760898889          
Check         All|All|All                           All                   All      0.999309210565295          0.9971707027263133         0.0007858415707633903      -0.0006615138579111335    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5455.882070010447     All      5.9966515314935554e-05     -5.997061156862692e-05     -0.0005840416209470231     -6.51305631769722e-05     
Lambda        AB|CNIa02|SDSS_i                      7459.951592904096     All      -9.8175099165342e-06       -1.490325562237855e-05     -0.00010802807724256829    -6.477391624780524e-06    
Lambda        AB|CNIa02|SDSS_r                      6151.650634124473     All      -1.3765646839966302e-05    -2.8610195615632917e-05    -0.00021667704873770086    -1.450465943085721e-05    
Lambda        AB|CNIa02|SDSS_g                      4707.7719902560375    All      -0.00014526096144553636    -0.00011102966527121875    -0.0009376838493705837     -3.069426423109197e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4361.03327887516      All      -0.00034146191465510864    9.418635193691187e-05      -0.0005408198581225634     0.00011777066645903235    
MWEBV         All|All|All                           All                   All      -0.9065976203704262        -4.0896150925968655        -0.0009846944622371623     -1.0368574512598585       
Redshift      All|All|All                           All                   All      4.723594631559241          0.7688382857230724         2.302891009112142          -1.1854268005172002       
