#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5455.882070010447     All      0.8860319686238616         0.13073693387570806        -0.06398308546420317       -0.24887971252662844       
Zeropoint     AB|CNIa02|SDSS_i                      7459.951592904096     All      0.35204522284563317        -0.052594130632011016      0.07986903709427118        -0.12824016136668698       
Zeropoint     AB|CNIa02|SDSS_r                      6151.650634124473     All      1.1479863569944238         -0.11928170849926367       0.08691816249455364        -0.4089121424208253        
Zeropoint     AB|CNIa02|SDSS_g                      4707.7719902560375    All      -0.6816213639132604        0.7435834347564452         0.47805190710039636        0.48556935177278826        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4361.03327887516      All      -0.7055305085474533        0.29489987522879346        -0.5795966575966816        0.3000083523405542         
Check         All|All|All                           All                   All      0.998911676003205          0.997344404729672          0.0012593636283364518      -0.0004543122007983347     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5455.882070010447     All      4.8382403635619095e-06     -2.6176076401488165e-05    -0.0004346463443916471     -2.949865340283574e-05     
Lambda        AB|CNIa02|SDSS_i                      7459.951592904096     All      3.487620423568667e-05      -1.053027205768752e-05     -2.2505742395924313e-05    -1.5794711075444892e-05    
Lambda        AB|CNIa02|SDSS_r                      6151.650634124473     All      7.754126767796224e-05      -1.439557276935345e-05     -1.2796168488832963e-05    -3.051788779488137e-05     
Lambda        AB|CNIa02|SDSS_g                      4707.7719902560375    All      -4.5775575153372534e-05    -0.00018552323028094928    -0.0008726589273109573     -8.44631687847485e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4361.03327887516      All      -0.00036762833127685425    5.481897436590914e-05      -0.0007891414647414839     0.00010238922637562869     
MWEBV         All|All|All                           All                   All      -0.9052643331338395        -4.089881081362323         0.0011095348914080816      -1.0372849322307365        
Redshift      All|All|All                           All                   All      5.044005485157726          1.0185091492143972         3.3600340935875828         -1.1612937019940817        
