#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4747.089745051477     All      -1.1309527898808118        1.2242513226444096         -0.1587729711045361       0.7600821548807493         
Zeropoint     AB|PS|PS_i                7301.7969863663275    All      0.713554952106765          -0.10237696121402351       0.0973955749279571        -0.26142955034386267       
Zeropoint     AB|PS|PS_r                6028.48171567594      All      1.0269131487920815         0.005138430272033645       -0.05515850142951591      -0.3352871117967074        
Zeropoint     AB|PS|PS_z                8391.546425636176     All      0.39005964979815344        -0.12813918767964338       0.12002545821235278       -0.16343822465886143       
Check         All|All|All               All                   All      0.9995749608161881         0.9988736040227764         0.00348956060625788       -7.273191868223394e-05     
Lambda        AB|PS|PS_g                4747.089745051477     All      -0.0005273898301823546     0.000287594458464762       -0.0008978251925165406    0.0002254013802190067      
Lambda        AB|PS|PS_i                7301.7969863663275    All      -0.00014532936281619777    -0.00010987263429591547    -0.0007069518319699155    -1.9998590377718606e-05    
Lambda        AB|PS|PS_r                6028.48171567594      All      -0.000147991755923132      -8.183002633367219e-05     -0.0007631517646478629    -1.2504906243419359e-05    
Lambda        AB|PS|PS_z                8391.546425636176     All      0.0004355009177136731      -0.00016794043015720445    -4.76802625953739e-05     -0.00019868845076431393    
MWEBV         All|All|All               All                   All      -0.6786806267289354        -4.024548018715723         -0.004949101843395101     -1.090079941022584         
Redshift      All|All|All               All                   All      7.1432919389945315         1.2415831288045354         9.500807260430138         -1.4984033275280348        
