#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4747.089745051477     All      -1.103618787058849         1.2218304349427278        -0.08574922329236975      0.7536487226092906         
Zeropoint     AB|PS|PS_i                7301.7969863663275    All      0.68024429193469           -0.09571599336020142      0.09404062330553468       -0.24855919215049943       
Zeropoint     AB|PS|PS_r                6028.48171567594      All      1.0750333585561496         -0.0089950103855152       -0.07553548057958896      -0.3564745048146803        
Zeropoint     AB|PS|PS_z                8391.546425636176     All      0.34771595788552856        -0.11838335480041096      0.0697700109677458        -0.14871036520630565       
Check         All|All|All               All                   All      0.9993748213175191         0.9987360763966002        0.002525930401321763      -9.53395621947073e-05      
Lambda        AB|PS|PS_g                4747.089745051477     All      -0.0005704028446256164     0.0003713993081491211     -0.0007909739368836276    0.0002714784115380067      
Lambda        AB|PS|PS_i                7301.7969863663275    All      -0.00014321461704209018    -0.0001262868125045905    -0.0007371583114570308    -2.7382046948571183e-05    
Lambda        AB|PS|PS_r                6028.48171567594      All      -0.00015508218268716178    -6.43296161739771e-05     -0.0008813884690130466    -9.771222717134443e-06     
Lambda        AB|PS|PS_z                8391.546425636176     All      0.0004480670800332808      -0.0001598705423834614    3.8036171778737177e-06    -0.00019785554620956793    
MWEBV         All|All|All               All                   All      -0.6742194166863196        -4.023874097040725        0.013012076342647309      -1.090512060552268         
Redshift      All|All|All               All                   All      7.142416496001178          0.754042981875358         9.352693768888255         -1.6635356572599769        
