#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      3.0152017077458186         -0.8408859661921397       0.4400044614933726        -1.236419238668849        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -2.0178399875630397        1.844860603427101         -0.4370280563161988       1.2387061066041765        
Check         All|All|All                            All                   All      0.9973617201827789         1.0039746372349612        0.002976405177173791      0.002286867935327397      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      -0.0005423625236042386     6.953416766038914e-05     -0.0008624748119246059    0.00016082659349542566    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -0.00024781335994635055    -3.676946726295893e-05    -0.0015168913289748296    1.0520458025537317e-06    
MWEBV         All|All|All                            All                   All      -0.5106332397685716        -2.9467145008251094       -0.01142230540479964      -0.7940215364485328       
Redshift      All|All|All                            All                   All      6.320012827887138          -0.3382054652801614       3.6367992481059317        -2.006507099731852        
