#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      3.061699887660946         -0.8610407094588268       0.5594243370413698        -1.2528011279951483      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -2.0647418442726133       1.8652961860786021        -0.5568656307802289       1.2552923253857733       
Check         All|All|All                            All                   All      0.9969580433883329        1.0042554766197753        0.002558706261140964      0.0024911973906249774    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      -0.0003449812974546635    1.9901973939573112e-05    -0.0008058584555509269    8.289272409894452e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -0.0003804601169090235    7.754533721664193e-05     -0.00158039212319168      7.866180236104404e-05    
MWEBV         All|All|All                            All                   All      -0.5107879288409936       -2.9464337054706746       -0.012075173788739235     -0.7939088193611527      
Redshift      All|All|All                            All                   All      6.0941437628337765        -0.7339659034844459       2.787627889187805         -2.099740926872799       
