#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3097.4658783206805    All      -0.3333542908197015       0.09890246174961703        0.20318280734396552       0.1498673606434664        
Zeropoint     AB|DECam|DECam_r          4116.762260394742     All      -0.6059538056905036       0.4030858922792646         -0.8735785261647071       0.2896936286271021        
Zeropoint     AB|DECam|DECam_z          5860.8489178763875    All      1.1505808365369583        0.13897546542605           0.07365590969084909       -0.3262262252388476       
Zeropoint     AB|DECam|DECam_i          5001.351952897419     All      0.7761442109970076        0.35860119711461635        0.6018945033935421        -0.10914770909364038      
Check         All|All|All               All                   All      0.9874169510237608        0.999565016569548          0.005154694263649673      0.004187054938080498      
Lambda        AB|DECam|DECam_g          3097.4658783206805    All      -0.0009144868545344115    0.0002722706465210305      0.0005609127017703146     0.00041159691895699516    
Lambda        AB|DECam|DECam_r          4116.762260394742     All      -0.0003811067184420239    0.00022076333226800978     -0.0008078547632766631    0.0001599980287104661     
Lambda        AB|DECam|DECam_z          5860.8489178763875    All      -0.0002627808206161567    -2.7692362017019245e-05    9.899501095121614e-05     8.099373781741174e-05     
Lambda        AB|DECam|DECam_i          5001.351952897419     All      -0.0002503022414496347    -9.290248121777392e-05     -0.0012120288857439053    -2.817002317607266e-06    
MWEBV         All|All|All               All                   All      -0.3977265296382624       -2.15771373658189          0.17993845452725798       -0.5652559083626688       
Redshift      All|All|All               All                   All      4.262523444095614         0.09976095900778859        5.594604890450181         -1.1062871710410915       
