#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|DECam|DECam_r          5349.984892657681     All      0.7658468231614393         0.1932914185042378         0.20084946311435284        -0.17753714273958798     
Zeropoint     AB|DECam|DECam_i          6499.563418631692     All      0.6036703156468395         0.041008622061511346       -0.2819514302666953        -0.1958596219973503      
Zeropoint     AB|DECam|DECam_g          4025.3467667936993    All      -0.8991659589140941        0.7273917203303171         -0.17277826608479008       0.5221130478145912       
Zeropoint     AB|DECam|DECam_z          7616.532407140077     All      0.526813318585839          0.03764871290030669        0.25499179451090637        -0.14795789245522417     
Check         All|All|All               All                   All      0.9971644984800236         0.9993404737963729         0.0011115612737738756      0.0007583906224287729    
Lambda        AB|DECam|DECam_r          5349.984892657681     All      0.00011041611513901748     1.359253813509841e-05      -0.0008669060260411786     -7.02246588180979e-05    
Lambda        AB|DECam|DECam_i          6499.563418631692     All      -0.00026187877754963444    -3.0234317917948127e-05    -0.0002075469583691732     6.619235385508455e-05    
Lambda        AB|DECam|DECam_g          4025.3467667936993    All      -0.0007525082709430075     0.0004811089947082446      -0.0010052829551153689     0.0003569685670359761    
Lambda        AB|DECam|DECam_z          7616.532407140077     All      -0.00017515590025170825    -1.6706352859001775e-05    -0.00018818768307538828    4.321427844018836e-05    
MWEBV         All|All|All               All                   All      -0.48098732853801573       -3.2237161375142875        0.09770231331163383        -0.8890370006685923      
Redshift      All|All|All               All                   All      6.348583304507237          -0.6578603734057609        0.5430071496640172         -2.257997295898706       
