#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     VEGAHST|ACSWF|F775W          3526.8065640142795    All      -1.008714835334044        0.07961732156882562        0.23581602915717464       0.3650289748851474       
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4107.549441483234     All      -0.44791415132433965      0.525227822748775          -0.6034609210035007       0.29005466706698213      
Zeropoint     ST|NICMOS2|F110W_faint       5294.227904616314     All      2.4450613254093523        0.39384339920971456        0.36747831848239976       -0.6517502920415469      
Check         All|All|All                  All                   All      0.9884323387509686        0.9986885435273152         -0.0001665733639262812    0.0033333499105826503    
Lambda        VEGAHST|ACSWF|F775W          3526.8065640142795    All      -0.002359393442425039     0.00017819481429690696     0.0002911527426909913     0.0008395687890783751    
Lambda        VEGAHST|ACSWF|F850LP_3pix    4107.549441483234     All      0.00013116838909040006    8.086963252045163e-05      -0.0013404428037919898    -7.62017656968896e-05    
Lambda        ST|NICMOS2|F110W_faint       5294.227904616314     All      -0.0011883106649644808    -0.00018219554091314784    -0.0001385990320557493    0.0003215397578696076    
MWEBV         All|All|All                  All                   All      -0.07349338065830846      -1.2941914164960266        0.021539260975940187      -0.39666031175375066     
Redshift      All|All|All                  All                   All      3.98262255595574          -0.6595450013771043        -3.4658701541251506       -1.6667725630123746      
