#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W          3526.8065640142795    All      -0.7291944152098581        0.0644322927356944         -0.16441596464245034       0.2511731989542465        
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4107.549441483234     All      -0.6320536026401364        0.575918994367397          0.057797857309671574       0.39605566887913957       
Zeropoint     ST|NICMOS2|F110W_faint       5294.227904616314     All      2.2248902683046223         0.3434707003829196         -0.05328823795940629       -0.6152182594534662       
Check         All|All|All                  All                   All      0.8636422504546277         0.983821987486011          -0.15990634529218506       0.03201060837991987       
Lambda        VEGAHST|ACSWF|F775W          3526.8065640142795    All      -0.0022451946773917185     0.0001628996114274877      -0.0016566065355583903     0.0007104687926539761     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4107.549441483234     All      -0.00027109947440129506    0.000138306256045433       -0.001980021137250033      4.4997666007646076e-05    
Lambda        ST|NICMOS2|F110W_faint       5294.227904616314     All      -0.000834240647797365      -0.00013688759855799972    -0.00012043758172645264    0.0002217762542484825     
MWEBV         All|All|All                  All                   All      -0.14893722248893004       -1.3112233187106526        -0.4744063213865113        -0.3997653948702523       
Redshift      All|All|All                  All                   All      3.859857474866184          -1.0120498900866082        -1.1156314036124604        -1.6367260153901302       
