#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4399.1979439294355    All      -0.3229753608898572        0.26838328279521484        0.027879151499731452       0.19386908385685186        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5422.327932574056     All      0.28544256223295744        0.154268440337324          0.16031672947762463        -0.03557352767335467       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6433.112227909095     All      0.3819994028220384         -0.030344160737261205      0.02586042502123677        -0.1331598323555017        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I           7959.10298274588      All      0.10493945084841176        -0.01957880782528232       0.011070184610286827       -0.04006568188341524       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6587.926508158155     All      0.3030450115103966         -0.01993519412235578       0.05433496327452384        -0.10278055884825492       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5419.644176981758     All      0.1674744025073333         0.09270443282238805        -0.09967670482614942       -0.02880315252316864       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7903.456518110121     All      0.09869442443863581        -0.014737771853301496      0.028806318521641876       -0.03566310444771087       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R           6549.633209632094     All      0.32408230313419517        -0.037733891617297566      -0.06209994229370355       -0.12062667323965151       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4414.196430705767     All      -0.2580263440093475        0.17137822035162564        -0.17821561071745043       0.1319182494112972         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U           3592.984330855134     All      -0.16407422924035026       0.08991759089622686        -0.001968654625422511      0.08264563988693624        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V           5480.428822267629     All      0.27389271548862604        0.12028102455918788        0.035402737381209505       -0.04845651983980862       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B           4380.654158158878     All      -0.31001114444571287       0.24173681872481367        -0.024593066059021555      0.1786249879871142         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7954.462776272618     All      0.11112342594294218        -0.01976852981062649       0.02327403870765834        -0.04159720275264478       
Check         All|All|All                                      All                   All      0.9956066203402689         0.9965714545206561         0.0003905699721657163      0.00033170757868855594     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4399.1979439294355    All      -0.00012488205877698124    4.175901818550469e-05      -0.00025254237211842805    4.30106749127887e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5422.327932574056     All      1.5835224165428055e-05     -2.203706843734356e-05     -0.00038779892611047164    -2.9641936638405944e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6433.112227909095     All      -0.00013174280170829392    -1.6964704395599997e-05    -0.0002627993217050042     2.565947564791803e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I           7959.10298274588      All      1.23476705470822e-05       1.0192091959905384e-07     2.643428992232694e-05      -2.8092025759362724e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6587.926508158155     All      -6.10429768068124e-05      1.637726073052162e-07      -5.01849019819877e-05      1.7697530241884464e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5419.644176981758     All      4.864198679986628e-05      8.049431158739703e-06      -0.00011638784300873402    -1.8416185711180176e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7903.456518110121     All      5.6871365788487334e-06     9.142354161894852e-07      2.0882276226609055e-05     -6.228108532943997e-07     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R           6549.633209632094     All      -9.381067510635532e-05     -1.7122065180971494e-05    -0.00021694824985178776    1.5298599249410068e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4414.196430705767     All      -0.00012188062177737933    5.72609234588147e-05       -0.00017731517700369368    5.043953289468664e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U           3592.984330855134     All      -0.0002897375193054392     0.00012759850834188034     -0.00012819179120811275    0.00013021946327420458     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V           5480.428822267629     All      5.8367363148044735e-06     -2.9507849386907865e-05    -0.0003764076960887044     -2.8310241063799627e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B           4380.654158158878     All      -0.00010881286432208621    1.9340909021713545e-05     -0.0002925015991708024     2.86908971522475e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7954.462776272618     All      1.767559379585366e-05      8.566635931959492e-07      4.0524510810247684e-05     -3.6700560982585598e-06    
MWEBV         All|All|All                                      All                   All      -0.9682488279945489        -4.05823371169054          0.01174987854942049        -1.0059853909885084        
Redshift      All|All|All                                      All                   All      3.6660597448273884         -0.20184808462890835       -1.4882231153504386        -1.326317392918341         
