#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4400.606642372857     All      -0.6363315438644481        0.4884438566070237         0.17363516667403545        0.37412489195629145        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6413.306894170207     All      0.4815240615569948         -0.10282965599417437       -0.5528876892336276        -0.21501606872188148       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7879.124501430405     All      0.21479482359918234        -0.051976110419005295      0.10135900611526472        -0.08237288279491738       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5405.634455056218     All      0.10569560477196714        0.17139285100249424        -0.7502338953752186        -0.01207973857846184       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5402.95896182175      All      0.4856343318643021         0.3166298051314076         0.9730668501000017         -0.011626830055112142      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6567.6445546465575    All      0.6869845244886689         -0.07856789607698644       0.5889654304714886         -0.22308278716321217       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7929.9737289163195    All      0.1757240930687171         -0.05373091855727097       -0.0525314370286023        -0.07708528289866665       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4385.6543307642605    All      -0.515793135810926         0.3069512171542499         -0.4769623893989605        0.24671026241612978        
Check         All|All|All                                      All                   All      0.9982327596744581         0.9963131488477384         0.004411042324381498       -0.0004284358398304322     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4400.606642372857     All      -0.0003510109732396266     0.00019093630820962926     -0.0002826417522635182     0.00016391705582708595     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6413.306894170207     All      -7.176051253873292e-05     -1.9625250760204423e-05    -0.00027843517753093104    4.556886793742982e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7879.124501430405     All      4.67675565401316e-05       -1.6925406938993043e-07    0.00010621303058197491     -1.054906365465504e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5405.634455056218     All      -6.504225267443646e-06     5.533143460212694e-05      -0.001015360347933996      -2.516896019458856e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5402.95896182175      All      4.114032364421699e-05      6.8985886320909e-05        -0.0005070235378588855     -1.3555915964161335e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6567.6445546465575    All      -0.00022686595716999773    -8.33542587220408e-06      -0.00068245010941467       4.072796948142797e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7929.9737289163195    All      2.39188612574431e-05       3.913146616745834e-06      7.705850049027929e-05      -3.0777524669475577e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4385.6543307642605    All      -0.0004035042210821006     0.00019155780623945968     -0.000448075680663084      0.00017383571956700906     
MWEBV         All|All|All                                      All                   All      -0.8468221539394327        -4.111348466805831         -0.007357559262044511      -1.063691953904006         
Redshift      All|All|All                                      All                   All      4.0903200969096165         -0.40914901307780305       2.200647871829642          -1.3674203099500841        
