#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4400.606642372857     All      -0.6345315934380255        0.49461638230452465        0.19576950223064538        0.37653693731210053        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6413.306894170207     All      0.5050335049832493         -0.10697995841955077       -0.4361055778880182        -0.21881430865584972       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7879.124501430405     All      0.21220842446082178        -0.05154958049420344       0.09374530026387924        -0.08173123740028461       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5405.634455056218     All      0.13032033394509382        0.18332102541220863        -0.6444093942810522        -0.011492962719670798      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5402.95896182175      All      0.446966932035467          0.30306747358643804        0.7449958824804221         -0.013627043175638795      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6567.6445546465575    All      0.6661017238256576         -0.08622702904479418       0.4657791959645122         -0.2242726394212748        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7929.9737289163195    All      0.17873818049663664        -0.052201366602089294      -0.02433965616665045       -0.07631077524220099       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4385.6543307642605    All      -0.5073379100693469        0.31239573877490656        -0.3927007787403142        0.24948978571883726        
Check         All|All|All                                      All                   All      0.9974995962395538         0.9964426855174402         0.002734473863424014       -0.00022224358398190147    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4400.606642372857     All      -0.0003907030458321848     0.00022136258275921034     -0.0002477036471231655     0.0001883160354838832      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6413.306894170207     All      -5.466224646752105e-05     -2.0802786273581906e-05    -0.00022548450264506955    9.668023881317934e-07      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7879.124501430405     All      4.2698341412581884e-05     -3.3806960389706676e-07    9.429876862010589e-05      -9.81025397899819e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5405.634455056218     All      3.9835507180259176e-05     7.18992482849213e-05       -0.0008537923404017563     -2.7656615482207983e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5402.95896182175      All      5.724645526728612e-05      7.332896269356858e-05      -0.0004882889312537307     -1.655149060439044e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6567.6445546465575    All      -0.00020212672210894313    -2.7979599747988508e-06    -0.0005517829198645145     4.030439808231459e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7929.9737289163195    All      1.8252615437141693e-05     4.467716210397047e-06      5.897079085647398e-05      -1.8585996349862248e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4385.6543307642605    All      -0.00044389495013066844    0.00022819692540412785     -0.0004282244039872597     0.0001998127466412188      
MWEBV         All|All|All                                      All                   All      -0.8441780864086361        -4.113963725336767         -0.004786894175514337      -1.0652903724528262        
Redshift      All|All|All                                      All                   All      4.207671879973638          -0.7161653556972514        1.823209229756046          -1.5224943228645968        
