#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5325.3230776616265    All      0.022335217592247984       0.015212684605092619      -0.16348236271106487       -0.009615510318752851      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4372.999444125213     All      -0.09451644793939666       0.029407038091289195      -0.2031780118180393        0.03129905485720341        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6357.254895353479     All      1.0637782740679116         -0.11418878394096055      0.16061835780574185        -0.3765349651431549        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5358.389465680471     All      0.5396773996619804         0.3705721458126199        0.12850366050649598        -0.049348616403899204      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4347.323919415627     All      -1.071237767323353         0.7918511040192477        -0.02742898211485212       0.6056453097045167         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7860.666133723277     All      0.367990048798315          -0.07417308408621537      0.141975170871822          -0.13769137930784714       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6300.031737774597     All      0.1132384328946113         -0.024968456660356964     -0.13259010706323515       -0.05093541831356074       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8136.218830884578     All      0.02939896372610095        -0.010237072790975077     -0.02398350738657129       -0.013981034862878272      
Check         All|All|All                       All                   All      0.9706641214784173         0.9834755750497415        -0.1195657819097029        -0.0011625597883729855     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5325.3230776616265    All      1.4110827641336133e-05     5.849648241339645e-06     -0.00015551019322033741    -9.630643606248443e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4372.999444125213     All      -0.00011509098360331396    4.532715118800969e-05     -0.00021939809104823987    4.246273495691036e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6357.254895353479     All      -0.00013538669444868598    6.432523701095251e-06     -8.740452472704786e-05     4.229472256096928e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5358.389465680471     All      0.00013970484936006935     7.6327066524787e-05       -0.0006310201317491696     -4.8803759245901826e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4347.323919415627     All      -0.0006163902724342958     0.0002618666054959262     -0.0009839113685243287     0.0002421697134991495      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7860.666133723277     All      -1.7122216705390946e-05    3.980441240028304e-06     1.0071789848170435e-05     7.3232876725142015e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6300.031737774597     All      -1.7525804311576298e-05    2.094396445716338e-06     -9.303653089265767e-06     5.975765564841442e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8136.218830884578     All      1.6010372318702214e-07     -6.152915677450488e-07    -5.0772755783150274e-06    -4.791472459808566e-07     
MWEBV         All|All|All                       All                   All      -0.8390564167617303        -4.060214544689256        0.02355247145597872        -1.048186136592201         
Redshift      All|All|All                       All                   All      3.6539154810651575         -0.736591057357483        2.557230154318635          -1.3160149860850123        
