#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_B
@MAGSYS  Linear_AB11_off
52444.46  17.117  0.012
52446.46  16.643  0.015
52448.44  16.322  0.016
52450.46  16.155  0.01
52452.46  16.112  0.014
52454.46  16.202  0.012
52456.43  16.346  0.01
52458.37  16.582  0.014
52460.45  16.873  0.015
52462.42  17.193  0.023
52464.41  17.504  0.017
52468.45  18.059  0.034
52470.35  18.213  0.029
52472.36  18.31  0.04
52474.35  18.504  0.059
52478.37  18.765  0.069
52482.44  18.933  0.128
52486.33  19.117  0.082
52490.3  19.24  0.052
52494.29  19.252  0.06
52498.33  19.345  0.065
52502.29  19.476  0.071
52508.26  19.36  0.124
