#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5325.3230776616265    All      0.10956003223445204        0.07644941653746073       -0.06267615929790743       -0.013582165967688806      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4372.999444125213     All      -0.27171478564411344       0.15129644657729813       -0.17712559039145898       0.1298843733999289         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6357.254895353479     All      0.9253946944009318         -0.09121569333041535      0.11414001785891681        -0.326049904001523         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5358.389465680471     All      0.46591236620373977        0.3644658573017878        0.2171710238098132         -0.02335312007817836       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4347.323919415627     All      -0.8907699302192813        0.6320379623651284        -0.02552363487102608       0.49488962690784344        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7860.666133723277     All      0.28633258262585387        -0.05854180123803232      0.08292625639102869        -0.10863631489847403       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6300.031737774597     All      0.2981480641469239         -0.05315524688178641      -0.10662235091885305       -0.11918911176045381       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8136.218830884578     All      0.07471090604000442        -0.024211436287391308     -0.04193379067817779       -0.03409357382746127       
Check         All|All|All                       All                   All      0.9975739297885111         0.9971255050440497        0.0003557719023353778      -0.0001301902260069654     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5325.3230776616265    All      4.059730174622195e-05      2.6939864357462114e-05    -0.0002193775782178341     -1.4238490424952154e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4372.999444125213     All      -0.00015804358774176993    8.932355529085114e-05     -0.00011028680548866566    7.565402302302082e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6357.254895353479     All      -0.0002613523706651654     -5.781635748903644e-06    -0.0004354062841075708     6.381761367867251e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5358.389465680471     All      7.28797765353438e-05       -3.112079909493536e-06    -0.000793436731213163      -6.016048489284713e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4347.323919415627     All      -0.0004609872590321607     0.00013386082750248754    -0.0009014312300057599     0.00015353485603383034     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7860.666133723277     All      6.682672962285327e-06      6.137595573086686e-06     8.433542505155809e-05      3.585953043278443e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6300.031737774597     All      -7.237108973329558e-05     7.758564736024855e-06     -3.1286541179667836e-05    2.4704690009024736e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8136.218830884578     All      4.106086667325843e-06      -1.369447190061074e-06    -2.5693019820797027e-06    -1.8982176641471781e-06    
MWEBV         All|All|All                       All                   All      -0.843260801106199         -4.05961462401212         0.008312723318637567       -1.0473012963554618        
Redshift      All|All|All                       All                   All      4.072281739835889          -0.25120044453545987      -0.0192015766474443        -1.4091572639648369        
