#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6377.901845259705    All      1.3136940938867543         -0.1545540927882172        -0.009177983707781001     -0.4786663095905334        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5429.343038711352    All      0.36606742265919046        0.5009145897985734         -0.3474861925316919       0.028417445850990604       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8349.249803427623    All      0.3875927156000011         -0.17595057864381314       0.20655583816620893       -0.1743469525781901        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4398.713264997099    All      -1.0673000743851575        0.8267631278407461         0.16245827067832116       0.6242084642699784         
Check         All|All|All                                   All                  All      1.0000541577607884         0.9971730462072892         0.012349932605057207      -0.00038735204775453       
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6377.901845259705    All      -0.00011545132210336297    -1.2647454123322798e-05    9.54567922905461e-05      3.774640017063355e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5429.343038711352    All      3.46416697795704e-05       0.0004301897180378495      -0.0014456758030999687    6.432914111843107e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8349.249803427623    All      -2.0880078454846007e-05    -1.824912216143882e-05     -6.463431123219704e-05    -2.0273434349849547e-06    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4398.713264997099    All      -0.0009770426773131689     0.0007689022190064436      4.4432467436200665e-05    0.0005706945095629877      
MWEBV         All|All|All                                   All                  All      -0.8422628122290821        -4.166400342652598         0.056355951923403175      -1.0802660472345311        
Redshift      All|All|All                                   All                  All      6.025811749583233          -4.000222129878295         -4.975680602463188        -3.487850854071331         
