#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5382.663958526267    All      1.1393390858864696        0.062177114638473086      0.15310489191907584        -0.3440347234707111        
Zeropoint     AB|MEGACAMPSF|i           4666.134507750628    All      1.918612692198157         0.6320318436083383        0.5521282182558873         -0.39444276309080206       
Zeropoint     AB|MEGACAMPSF|r           3821.528940674427    All      -2.0532673735353537       0.3046525535202349        -0.7030959391535085        0.7366761509418757         
Check         All|All|All               All                  All      1.0046844045492727        0.9988615117670463        0.002137171021454609       -0.0018013356196374675     
Lambda        AB|MEGACAMPSF|z           5382.663958526267    All      0.00028709802109947846    -2.536060688371227e-05    -0.0005449655818872546     -0.00012609736570089403    
Lambda        AB|MEGACAMPSF|i           4666.134507750628    All      -3.791360406510744e-05    -7.863456379000285e-05    -0.001995558187428642      -0.00010231675289987604    
Lambda        AB|MEGACAMPSF|r           3821.528940674427    All      -0.0034047078885972187    0.0004162175644413752     -0.001577218627396219      0.0011742171013307205      
MWEBV         All|All|All               All                  All      -0.1068218259687117       -2.073226621592106        -0.00042384079705914957    -0.6405416487988896        
Redshift      All|All|All               All                  All      4.223562439795122         -0.1428776356190653       5.105431466410715          -1.194461226226684         
