#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3625.7172362645733    All      -0.5462652688979748        0.19867869809964134        -0.17129200986213072       0.23500878229527825       
Zeropoint     AB|MEGACAMPSF|z           6541.73757602377      All      0.6137794621130277         -0.024340788675303315      0.2785303589751488         -0.19542722853704744      
Zeropoint     AB|MEGACAMPSF|i           5681.527750405572     All      1.4039651715753525         0.059593178739802966       -0.39146136074783305       -0.45537530920456115      
Zeropoint     AB|MEGACAMPSF|r           4638.72048162946      All      -0.4827718988685865        0.7671350789223652         0.28622089819087015        0.41990854750589607       
Check         All|All|All               All                   All      0.988707465921819          1.0010661670865062         0.0019978865560551506      0.0041147920595657195     
Lambda        AB|MEGACAMPSF|g           3625.7172362645733    All      -0.0009561388375696227     0.00028389375214051736     -0.0007814113801135718     0.00036904860932722504    
Lambda        AB|MEGACAMPSF|z           6541.73757602377      All      -0.00013069967683857956    -4.233871966800693e-06     -0.0001640354060053985     3.3873926465485105e-05    
Lambda        AB|MEGACAMPSF|i           5681.527750405572     All      -0.0003414093743123556     -5.008571462096211e-05     -0.00042551440994965196    7.590494642615348e-05     
Lambda        AB|MEGACAMPSF|r           4638.72048162946      All      -0.0002530588836440214     -0.00019784660175622897    -0.0017878329062880071     -6.179831474712201e-05    
MWEBV         All|All|All               All                   All      -0.4454212252958163        -2.727076333277978         0.0062503383453454435      -0.7429312089996252       
Redshift      All|All|All               All                   All      3.8346673392678667         1.318356609229454          4.717318477479737          -0.6091329311477814       
