#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5360.358660695963    All      0.5890658126168632         0.22872623396335           0.09161596236079297        -0.11328605596419693      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4605.465217538406    All      -0.5681221362151081        0.48897371107008425        -0.013282360219215743      0.3437381641482605        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7367.033113462089    All      0.48368161037132945        -0.060506115727143595      0.19751410702683697        -0.1684456981875558       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4277.389759697877    All      -0.6978266331933962        0.43780393211489965        -0.1039671031359262        0.36527266194745084       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6071.014481618683    All      1.1918755938047523         -0.09770469125758297       -0.17073305166932964       -0.42767775672346364      
Check         All|All|All                      All                  All      0.9986742473844403         0.9972930701636074         0.001147554363158304       -0.0003986847795049986    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5360.358660695963    All      0.00017356993823662993     -1.6610745708303665e-05    -0.000619466427248262      -8.959204706122004e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4605.465217538406    All      -0.00017357390523500867    1.8504079380068343e-05     -0.0006339299555195606     3.427673638726294e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7367.033113462089    All      -6.070287237034568e-05     -1.1242002602980358e-05    -0.00014902695738130278    9.460643845643923e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4277.389759697877    All      -0.0003693665308204492     0.00012236595300775787     -0.0005820504869744379     0.00013419920752856976    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6071.014481618683    All      -0.00011611760578325507    -3.10271848503584e-05      -0.0003388099035974031     1.2597219589593631e-05    
MWEBV         All|All|All                      All                  All      -0.8420067895384795        -3.9880705715130027        0.03663549954920158        -1.0231416021290822       
Redshift      All|All|All                      All                  All      6.38894982883822           -0.27343858749864225       4.7767363004410015         -1.9569952909369528       
