#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5360.358660695963    All      0.6119318960037983         0.23303400501513138        0.10250632060972986        -0.11884512217105336      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4605.465217538406    All      -0.5524098030286386        0.4815979648831181         0.012449143974857524       0.33736589597274014       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7367.033113462089    All      0.43871749665263804        -0.06086452034512746       0.13362932777634118        -0.15676703553498592      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4277.389759697877    All      -0.6760121115383504        0.4447566942203274         0.008351261848582592       0.3654439506944409        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6071.014481618683    All      1.1773758614918033         -0.10106753185574746       -0.25375131305569454       -0.4277548284156942       
Check         All|All|All                      All                  All      0.9996033395812508         0.997456611917702          0.003184741153816617       -0.0005571394545524355    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5360.358660695963    All      0.00016207620812099346     -1.9703024293508853e-05    -0.0006970717602664968     -9.031858748241447e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4605.465217538406    All      -0.00016443712594182232    -6.922624458184244e-06     -0.0007031855104365417     1.9927715489847512e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7367.033113462089    All      -5.486643961411826e-05     -9.361698232301876e-06     -0.00013949589734812027    8.597330112418211e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4277.389759697877    All      -0.0003303244597750153     0.00010606260160289108     -0.0005947918266271131     0.00011560279515634915    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6071.014481618683    All      -0.00014974400908771902    -2.8850606556051947e-05    -0.0003956764076699368     2.172173768107027e-05     
MWEBV         All|All|All                      All                  All      -0.8362608936810583        -3.9853306191991678        0.06190261554009924        -1.022993181494826        
Redshift      All|All|All                      All                  All      6.160392632086338          -0.14733298009454998       4.786213052594657          -1.841047043640202        
