#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4752.918618662823    All      -1.1653899905990008        1.1965088395180956        -0.0905377237877536       0.7653078703446822         
Zeropoint     AB|PS|PS_z                8401.850267810165    All      0.27497934313441924        -0.0592198346703654       0.12204669331232765       -0.10341328365504748       
Zeropoint     AB|PS|PS_r                6035.883989463921    All      1.3007047607462245         -0.02668318731959829      -0.19916649432323297      -0.4412618103544319        
Zeropoint     AB|PS|PS_i                7310.762743083611    All      0.5892131260513975         -0.11230099248269454      0.16473154488767516       -0.2211550152718178        
Check         All|All|All               All                  All      0.9995072393330409         0.9983048250454374        -0.002925979910983756     -0.0005222389366150715     
Lambda        AB|PS|PS_g                4752.918618662823    All      -0.00021599078583696115    -8.299087067115299e-05    -0.0011534771433125864    -8.151939240396144e-06     
Lambda        AB|PS|PS_z                8401.850267810165    All      0.0002955160868572591      -6.776617083097446e-05    9.98985165263359e-05      -0.00011387497098505717    
Lambda        AB|PS|PS_r                6035.883989463921    All      -0.0003223281086150892     -6.473388324795563e-05    -0.0008615254906098222    4.546098799791137e-05      
Lambda        AB|PS|PS_i                7310.762743083611    All      -0.0001809842554624083     -3.038177593429555e-05    -0.0006172039774076825    2.151320346034535e-05      
MWEBV         All|All|All               All                  All      -0.7099921521987094        -4.010365461143461        0.054700519695538574      -1.0725991328164375        
Redshift      All|All|All               All                  All      6.047648832487225          1.740607153414686         8.423980086987138         -1.0270216309952118        
