#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4752.918618662823    All      -1.1576347169788423        1.2116161930494584        -0.04346762835687836      0.7698032068219572         
Zeropoint     AB|PS|PS_z                8401.850267810165    All      0.302144507405527          -0.07394104188858108      0.09853741984499585       -0.11810616377047026       
Zeropoint     AB|PS|PS_r                6035.883989463921    All      1.2752764834090524         -0.016980357891061004     -0.19089326739644344      -0.4294492569815721        
Zeropoint     AB|PS|PS_i                7310.762743083611    All      0.5803138715757273         -0.12191211159269244      0.13800962675164735       -0.22257936947994925       
Check         All|All|All               All                  All      1.0001001454114644         0.9987826816771239        0.0021861508433214105     -0.0003315834100343362     
Lambda        AB|PS|PS_g                4752.918618662823    All      -0.0003057804999896347     5.844527979795823e-05     -0.0009386705994989367    7.675176145154353e-05      
Lambda        AB|PS|PS_z                8401.850267810165    All      0.0003064409566029786      -8.161655820405328e-05    5.117499749199756e-05     -0.00012411939418587237    
Lambda        AB|PS|PS_r                6035.883989463921    All      -0.00019662899668061514    -6.102803863433658e-05    -0.0007055068712986636    1.2686161784482626e-05     
Lambda        AB|PS|PS_i                7310.762743083611    All      -0.00012786483254007575    -3.449811625788319e-05    -0.0005304295574662222    6.741976191960951e-06      
MWEBV         All|All|All               All                  All      -0.7071501720147761        -4.0160018470386305       0.037314417280855695      -1.0761366774776473        
Redshift      All|All|All               All                  All      5.659805333498799          1.2310369020827494        7.1565082175496455        -1.1232334871699505        
