#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5116.111422881095     All      0.6741892846232643         0.4261403699224786         0.040144835602812234      -0.07900621245055389       
Zeropoint     AB|SDSS|SDSS_g            3915.2883491239613    All      -1.016363037911397         0.5592158213506337         0.06953687505712736       0.5163209808289437         
Zeropoint     AB|SDSS|SDSS_i            6204.179305450526     All      1.218600900442008          0.013637488397222342       -0.23494460906848258      -0.40298072426292114       
Zeropoint     AB|SDSS|SDSS_z            7376.2520221529685    All      0.12164330857574489        -0.000590727237792521      0.1291109638274779        -0.03405401751438858       
Check         All|All|All               All                   All      0.9980704557296204         0.9984029524325422         0.0038480654189348984     0.0002800266010801189      
Lambda        AB|SDSS|SDSS_r            5116.111422881095     All      -3.213037924210761e-05     -1.942923474387821e-05     -0.0023352098817917355    -0.00010007251117499623    
Lambda        AB|SDSS|SDSS_g            3915.2883491239613    All      -0.0012443332541930128     0.0005697599794957633      -0.0006499040987215692    0.0005619076130827105      
Lambda        AB|SDSS|SDSS_i            6204.179305450526     All      -0.00024242614020278359    -3.312950629494197e-05     -0.0007722901402350401    3.371103736014369e-05      
Lambda        AB|SDSS|SDSS_z            7376.2520221529685    All      -2.635739524957235e-05     -2.2864174298767963e-07    -4.113254340000543e-05    6.675438130548511e-06      
MWEBV         All|All|All               All                   All      -0.5560857858581083        -3.204492297636108         0.0526450194196032        -0.8603238254454443        
Redshift      All|All|All               All                   All      6.267113393134574          0.403580806671755          5.542598507639573         -1.6626047527414325        
