#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5116.111422881095     All      0.6851178814507868         0.4330872676428399        -0.022414343643830152      -0.08309491168962596      
Zeropoint     AB|SDSS|SDSS_g            3915.2883491239613    All      -1.02244566268469          0.5569070319836555        -0.1139137734072923        0.5093636832936634        
Zeropoint     AB|SDSS|SDSS_i            6204.179305450526     All      1.2111452147081936         0.010518243713164566      0.01021266275463564        -0.39062795967349967      
Zeropoint     AB|SDSS|SDSS_z            7376.2520221529685    All      0.12284229670034286        -0.0021802125289127616    0.1237963907558245         -0.03519948003117514      
Check         All|All|All               All                   All      0.996659730174633          0.9983323308107472        -0.0023190635406623167     0.0004413318993626708     
Lambda        AB|SDSS|SDSS_r            5116.111422881095     All      -7.433558935819091e-05     -3.361000374707365e-05    -0.0022099951674822956     -8.535627111855286e-05    
Lambda        AB|SDSS|SDSS_g            3915.2883491239613    All      -0.0011739817627323377     0.0005103780197436861     -0.000766503579445002      0.0005144458606163057     
Lambda        AB|SDSS|SDSS_i            6204.179305450526     All      -0.0002541861218117959     -3.46719125202707e-05     -0.000691876357553849      4.06277356047713e-05      
Lambda        AB|SDSS|SDSS_z            7376.2520221529685    All      -2.5380071697465237e-05    -2.620784786356439e-07    -4.3446566114736195e-05    6.242936045964409e-06     
MWEBV         All|All|All               All                   All      -0.5600911915040996        -3.2020226833633814       0.05566445315291915        -0.8580799549763296       
Redshift      All|All|All               All                   All      6.468668826794916          0.6725446376435684        6.101339472564095          -1.6157135770065365       
