#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7758.182458550082    All      0.43140113129296004        -0.10063875695323077      0.47821045445276544       -0.15196255895314723      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5342.080237738083    All      0.3321433069927492         0.44620577339120615       -0.8675624469631216       -0.0015614295881077184    
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4270.068413548481    All      -1.0055950735319936        0.7120561525746361        0.2411055282847907        0.5702549457594939        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6384.293504815825    All      1.2376687740675991         -0.05922160903484297      0.1394549475816187        -0.4162166303855897       
Check         All|All|All                                All                  All      0.9956181388213146         0.9984015599777685        -0.008791516643946728     0.0005143268326492367     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7758.182458550082    All      -5.54250265321452e-05      1.628602896244538e-05     -5.546843347276266e-05    2.088334856964889e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5342.080237738083    All      -0.00011904375480069763    5.8846653682419905e-05    -0.0017973040062997296    -2.226066461887474e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4270.068413548481    All      -0.0005856042109566614     0.00018785738747680407    -0.000996506912340488     0.0002074723620334914     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6384.293504815825    All      -0.0003848376182256581     -6.416465145117019e-06    -0.0007443422560768252    9.004764299609643e-05     
MWEBV         All|All|All                                All                  All      -0.8105045877890285        -3.9879398628216656       0.0910502071396091        -1.030932051027528        
Redshift      All|All|All                                All                  All      5.937934719957009          -0.8875049700110438       5.489972860600478         -1.9782779830833184       
