#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7758.182458550082    All      0.47685565538555585        -0.11843078392876905      0.380110249883223         -0.17694180295776007      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5342.080237738083    All      0.28847501650458085        0.44314970194587744       -0.7446695166001316       0.017151453311751975      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4270.068413548481    All      -0.9893649093713511        0.7286377874557992        0.17935184516624275       0.5676136480830377        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6384.293504815825    All      1.2212174638992705         -0.05516505031000207      0.18386680330992494       -0.4075546456533593       
Check         All|All|All                                All                  All      0.9971832264180563         0.9981916551629055        -0.0013406182407408873    0.0002686527836702757     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7758.182458550082    All      -6.29480663407628e-05      1.705313139093947e-05     -4.267104697071619e-05    2.415480921717074e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5342.080237738083    All      -4.7031132855415895e-05    6.603244721887305e-05     -0.0015248905980097343    -3.122033610848361e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4270.068413548481    All      -0.0006309478879389117     0.00023418644200387496    -0.0010298274398422933    0.00023584624452260342    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6384.293504815825    All      -0.0003235168044967348     -4.997140931923981e-06    -0.0005527194349250529    7.908700357657282e-05     
MWEBV         All|All|All                                All                  All      -0.7960566429662226        -3.9926601087968194       0.07496416388868232       -1.037893607614934        
Redshift      All|All|All                                All                  All      5.820192026549597          -1.1170760352992026       5.4551531710709575        -2.016258005671687        
