#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          4593.68638864232     All      -0.0942907958615743        0.5571609532351474        0.6471518853422259         0.2410786831884712         
Zeropoint     AB|DECam|DECam_g          3456.305208929259    All      -0.4699293517464794        0.22794923790936394       0.020073730294278835       0.22821781456226695        
Zeropoint     AB|DECam|DECam_z          6539.824307793836    All      0.8355960260147978         0.02368351431929483       0.22675559247922195        -0.25434755554587934       
Zeropoint     AB|DECam|DECam_i          5580.755199750495    All      0.7211791420703447         0.19089686925823912       -0.8887679457142306        -0.2123920134771841        
Check         All|All|All               All                  All      0.9925550204770889         0.9996905747220453        0.00521326240149611        0.0025569287276746844      
Lambda        AB|DECam|DECam_r          4593.68638864232     All      -0.00022126300109051572    -0.0002426440237510491    -0.0018901779814277382     -9.131446453294254e-05     
Lambda        AB|DECam|DECam_g          3456.305208929259    All      -0.0007799196930431658     0.00030116250130180633    -0.0006038887803743889     0.00032519525453865824     
Lambda        AB|DECam|DECam_z          6539.824307793836    All      -0.0002561611287775933     -2.105730176541466e-05    -0.00036744136089349785    6.018383080448515e-05      
Lambda        AB|DECam|DECam_i          5580.755199750495    All      -8.86700088676943e-05      -6.1931302893362e-05      -0.0008053503295811252     -2.7229410155792145e-05    
MWEBV         All|All|All               All                  All      -0.48234689925280705       -2.545094190944397        0.0033244803995191585      -0.6717562989826891        
Redshift      All|All|All               All                  All      5.022285653343799          0.29871774778573723       -0.1567274587786771        -1.5456154942705995        
