#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4246.463490242637     All      -0.776002632252829        0.6045498920308034         -0.6803875367680968       0.4193288051291215        
Zeropoint     AB|SDSS|SDSS_z            8000.173196415908     All      0.11375592547030526       -0.0035106725739808553     0.08423676755240361       -0.034438488889122744     
Zeropoint     AB|SDSS|SDSS_r            5548.858329716351     All      0.9049893288728319        0.2784345695832968         -0.45182650716583755      -0.22425243999063676      
Zeropoint     AB|SDSS|SDSS_i            6728.960566444463     All      0.8618366130465386        0.02686850426609766        0.7309807988844093        -0.23935626688380354      
Zeropoint     AB|SDSS|SDSS_u            3229.3783669337854    All      -0.11057838434605635      0.09461830549817307        0.32931146719985355       0.08153497096111055       
Check         All|All|All               All                   All      0.9940008507907907        1.0009605988043901         0.012314989702732093      0.0028165803266689965     
Lambda        AB|SDSS|SDSS_g            4246.463490242637     All      -0.0005737096775793318    0.00023411002623133985     -0.0017840974665586475    0.0001835173781407612     
Lambda        AB|SDSS|SDSS_z            8000.173196415908     All      1.907430262832089e-06     1.1882989056908577e-06     1.9883590927848445e-05    6.53068599340067e-07      
Lambda        AB|SDSS|SDSS_r            5548.858329716351     All      0.00011623062309346176    4.673152896575523e-05      0.00030414499408683396    -9.065547211013117e-06    
Lambda        AB|SDSS|SDSS_i            6728.960566444463     All      -0.0004524028890371533    -1.2560180494276924e-05    -0.0004364047478592824    0.00012379650100526212    
Lambda        AB|SDSS|SDSS_u            3229.3783669337854    All      -7.538447698315844e-05    6.450394137369073e-05      0.00022425671662189173    5.5573807340080895e-05    
MWEBV         All|All|All               All                   All      -0.8025529397091762       -3.4721362470882866        0.49107048102536055       -0.8476568897324548       
Redshift      All|All|All               All                   All      2.5039520543068496        0.019825015286656367       -7.309036443721051        -1.1353306292540644       
