#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4444.9908343582565    All      -0.5395328502880509       0.4657943113018703         -0.38836426678245145       0.31013721727710925        
Zeropoint     AB|MEGACAMPSF|z           6268.791787625569     All      0.05072793117149402       -0.03464956352754456       -0.8392783903117791        -0.06526339875301379       
Zeropoint     AB|MEGACAMPSF|g           3479.2260501142623    All      -0.6644811504693213       0.21338057001063504        -0.1978590597633001        0.2771189020496366         
Zeropoint     AB|MEGACAMPSF|i           5439.716420802685     All      2.142753574939152         0.35661015495414006        1.42788513443238           -0.5180857187517186        
Check         All|All|All               All                   All      0.9894675053532741        1.0011354727391009         0.002383417574849389       0.003907001822013423       
Lambda        AB|MEGACAMPSF|r           4444.9908343582565    All      -0.0002297184549031684    -0.00016219528576338977    -0.0017223832002525319     -5.4867533972253514e-05    
Lambda        AB|MEGACAMPSF|z           6268.791787625569     All      6.382105391553148e-07     -3.5595538239651353e-06    -1.8963210322026896e-05    -2.213590937211119e-06     
Lambda        AB|MEGACAMPSF|g           3479.2260501142623    All      -0.0014317066320872944    0.00037241850647758026     -0.00104980384318536       0.0005408149876379415      
Lambda        AB|MEGACAMPSF|i           5439.716420802685     All      0.00045559253370081217    -4.8818813538811606e-05    -0.0008617079451310591     -0.00020275743834611692    
MWEBV         All|All|All               All                   All      -0.4276860720996578       -2.543725523171325         0.046452106887515596       -0.6871907206606117        
Redshift      All|All|All               All                   All      1.8213114296260398        0.018526983306621503       -2.5620551747605327        -0.7015589593686031        
