#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4444.9908343582565    All      -0.5249746412634497        0.4850572982116219         -0.27514383124791486      0.31672222625215224        
Zeropoint     AB|MEGACAMPSF|z           6268.791787625569     All      0.06721937674827874        -0.0495346957336551        -1.018984309195814        -0.08350323219601316       
Zeropoint     AB|MEGACAMPSF|g           3479.2260501142623    All      -0.6250134825410392        0.19857275331460755        -0.2154031946825008       0.258656676932946          
Zeropoint     AB|MEGACAMPSF|i           5439.716420802685     All      2.0725816764483644         0.36716551580209256        1.514420533198646         -0.4879285171329177        
Check         All|All|All               All                   All      0.9898129293921542         1.001260871594667          0.00488919807241639       0.00394715385616734        
Lambda        AB|MEGACAMPSF|r           4444.9908343582565    All      -0.00027413188843782997    -0.0001812932532355524     -0.0018346968765727751    -5.1633497357717475e-05    
Lambda        AB|MEGACAMPSF|z           6268.791787625569     All      -1.093926836793399e-05     -1.0902320135258573e-06    1.577701714135011e-05     3.912210978101986e-06      
Lambda        AB|MEGACAMPSF|g           3479.2260501142623    All      -0.0013150250031812019     0.00031611736013001916     -0.001228839034480997     0.00047647928846492656     
Lambda        AB|MEGACAMPSF|i           5439.716420802685     All      0.00038707985007501995     -6.433354210239971e-05     -0.0009494621391925104    -0.00018941032744195231    
MWEBV         All|All|All               All                   All      -0.4377791037634955        -2.5370348142914168        0.07036089521220146       -0.680656764783013         
Redshift      All|All|All               All                   All      1.4661138093314134         0.17805443887848327        -3.169334528386103        -0.5609961566260021        
