#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K4_B
@MAGSYS  Linear_AB11_off
54276.48  16.357  0.012
54280.47  16.247  0.011
54282.38  16.321  0.017
54289.35  16.709  0.01
54291.4  16.856  0.018
54293.42  17.031  0.015
54295.41  17.263  0.018
54297.39  17.48  0.017
54300.36  17.852  0.027
54303.39  18.11  0.037
54306.4  18.396  0.042
54309.38  18.694  0.089
54315.39  19.047  0.086
54319.33  19.174  0.059
54323.32  19.241  0.052
54327.35  19.205  0.043
54331.29  19.398  0.068
54335.3  19.525  0.062
54343.28  19.578  0.112
54347.26  19.62  0.113
54353.29  19.582  0.076
54357.27  19.865  0.1
