#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6138.390014520124     All      0.6390155255522971         -0.028600394182021205     0.21666278921259052        -0.20779580378247342      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4307.46010498016      All      -0.4328267977092079        0.33393667183840847       0.17797464679608632        0.25770227887904895       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5278.277165997339     All      0.1487530296450889         0.22920338169800658       -0.22780724793688423       0.016039335207024275      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7478.540805685019     All      0.2630363394102646         -0.04480445506729325      0.18520948995895958        -0.0920088255222086       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6239.536922463078     All      0.6079061765246477         -0.08066105137070068      -0.1527671362416827        -0.23110629497083354      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5327.0103679110125    All      0.18955509704365214        0.2629764583013561        0.1608259855916061         0.03109267794259088       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7730.92802505553      All      0.20646597224426305        -0.04696305074993745      0.05626282948065775        -0.08003941868252457      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4364.349511490657     All      -0.626202722074303         0.3720811980709726        -0.4160191576854544        0.3066088910561461        
Check         All|All|All                                All                   All      0.9957026206367023         0.9971687585387912        0.00034219917587896553     0.0004928401267700888     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6138.390014520124     All      -0.00012244197135396839    1.233109946445217e-06     -0.00013787123968172634    3.413248256156909e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4307.46010498016      All      -6.367360568772786e-05     5.297333719639e-05        3.527787271199811e-05      3.957003630151844e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5278.277165997339     All      -4.2215131526963056e-05    9.873074853845577e-06     -0.0011463244018860908     -3.418835070931135e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7478.540805685019     All      -7.250527808458169e-05     1.1010346380088101e-05    -7.093441141151798e-05     2.403830947924815e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6239.536922463078     All      -0.00014391219128973015    -7.703701938447277e-06    -0.00020738979410577475    3.511273210384096e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5327.0103679110125    All      -5.945648876708737e-06     5.368964101173673e-05     3.495580793210597e-05      2.098509302121954e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7730.92802505553      All      -3.6675957875537884e-05    9.501978639114288e-06     2.184643264121924e-06      1.5139163726982696e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4364.349511490657     All      -0.0003602607664707057     0.00010245831652143256    -0.000953660419636408      0.00010816534381171021    
MWEBV         All|All|All                                All                   All      -0.8371607904619154        -4.00641582733936         0.047497309284516565       -1.0302110441385883       
Redshift      All|All|All                                All                   All      5.410310645403916          0.34371003226745245       5.170662478560761          -1.41961558748327         
