#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6969.594264304037    All      1.5201862924108853         -0.37738277634229433       0.844399709620185          -0.5804189930082132       
Zeropoint     AB|PS|PS_z                8009.764438255053    All      0.21002063911191404        -0.06622863841094784       0.14330927492478254        -0.08358824327627579      
Zeropoint     AB|PS|PS_g                4531.116041848744    All      -0.7452700614505857        0.84678182821456           0.49509306553714605        0.5406774070500765        
Zeropoint     AB|PS|PS_r                5754.209774181315    All      0.012280144236710255       0.5972464057506954         -1.47110255247236          0.12489420580627748       
Check         All|All|All               All                  All      0.9972170143089241         1.0004168192120133         0.011699497609753529       0.0015643765718649921     
Lambda        AB|PS|PS_i                6969.594264304037    All      -0.0012495082580438535     0.0002335857512929314      -0.0012586678499881853     0.0004269239458919881     
Lambda        AB|PS|PS_z                8009.764438255053    All      -6.998742825164062e-05     4.227961354807898e-05      0.00010596943833245273     4.129799832288783e-05     
Lambda        AB|PS|PS_g                4531.116041848744    All      -0.00011811553854695417    5.168646144133951e-05      -0.0003496674084499684     3.9706047241253426e-05    
Lambda        AB|PS|PS_r                5754.209774181315    All      -5.1100264762367096e-05    -0.00010167439173031968    -0.00023112975339181603    -2.6787916346134e-05      
MWEBV         All|All|All               All                  All      -0.6302822244431985        -3.789774587075101         0.0709220801620372         -1.0259856800161902       
Redshift      All|All|All               All                  All      8.293858465760023          -0.9931661336233688        0.7910162023668964         -2.9897900259475985       
